field,dtype,per_step_shape,feature_dim,action_id,action_label,num_real_steps,mean_value,std_value,min_value,max_value,avg_l2_norm
action_seq,float32,"(246,)",246,0,NOOP,1139,0.07862766511773985,0.2691567487466595,0.0,1.0,3.8432994937844196
action_seq,float32,"(246,)",246,1,FIRE,13267,0.03389637838490392,0.18096246549296166,0.0,1.0,2.493302667079421
action_seq,float32,"(246,)",246,2,RIGHT,432,0.10952085215296598,0.3122915866568521,0.0,1.0,4.749056475007967
action_seq,float32,"(246,)",246,3,LEFT,1791,0.1144838919075958,0.3183980690916415,0.0,1.0,4.964399241777456
action_seq,float32,"(246,)",246,4,RIGHTFIRE,16109,0.0375452897865002,0.19009376897033717,0.0,1.0,2.5148260002188216
action_seq,float32,"(246,)",246,5,LEFTFIRE,11068,0.03164363094660943,0.17504945463246724,0.0,1.0,2.4977226081608026
cur_action,float32,"(6,)",6,0,NOOP,1139,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
cur_action,float32,"(6,)",6,1,FIRE,13267,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
cur_action,float32,"(6,)",6,2,RIGHT,432,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
cur_action,float32,"(6,)",6,3,LEFT,1791,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
cur_action,float32,"(6,)",6,4,RIGHTFIRE,16109,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
cur_action,float32,"(6,)",6,5,LEFTFIRE,11068,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
cur_d,float32,"(1,)",1,0,NOOP,1139,0.05267778753292362,0.22338943178574894,0.0,1.0,0.05267778753292362
cur_d,float32,"(1,)",1,1,FIRE,13267,0.007462124067234492,0.08606068075282516,0.0,1.0,0.007462124067234492
cur_d,float32,"(1,)",1,2,RIGHT,432,0.032407407407407406,0.17707955091578959,0.0,1.0,0.032407407407407406
cur_d,float32,"(1,)",1,3,LEFT,1791,0.04075935231714126,0.19773221162933574,0.0,1.0,0.04075935231714126
cur_d,float32,"(1,)",1,4,RIGHTFIRE,16109,0.006890558073126824,0.08272290059329213,0.0,1.0,0.006890558073126824
cur_d,float32,"(1,)",1,5,LEFTFIRE,11068,0.005240332490061439,0.07220021748897329,0.0,1.0,0.005240332490061439
cur_ns,float32,"(6,)",6,0,NOOP,1139,0.0028570383827493384,0.01767442600640372,0.0,0.4000000059604645,0.015249081729705403
cur_ns,float32,"(6,)",6,1,FIRE,13267,0.008143011557951909,0.040899067606834365,0.0,0.9750000238418579,0.04405395035618103
cur_ns,float32,"(6,)",6,2,RIGHT,432,0.0022280092802427617,0.016348328219245877,0.0,0.5249999761581421,0.011574774642227927
cur_ns,float32,"(6,)",6,3,LEFT,1791,0.0008491531887004856,0.008783891899076333,0.0,0.42500001192092896,0.004474959492465057
cur_ns,float32,"(6,)",6,4,RIGHTFIRE,16109,0.009053169110757557,0.04354981090285919,0.0,0.7749999761581421,0.049810600586419625
cur_ns,float32,"(6,)",6,5,LEFTFIRE,11068,0.014130827706866347,0.06279695530973768,0.0,1.100000023841858,0.078959258598797
cur_policy,float32,"(6,)",6,0,NOOP,1139,-0.8909845386415718,1.566550655112485,-18.8848876953125,4.089971542358398,3.8554654251231355
