field,dtype,per_step_shape,feature_dim
action_seq,float32,"(246,)",246
cur_action,float32,"(6,)",6
cur_d,float32,"(1,)",1
cur_ns,float32,"(6,)",6
cur_policy,float32,"(6,)",6
cur_qs_max,float32,"(6,)",6
cur_qs_mean,float32,"(6,)",6
cur_r,float32,"(1,)",1
cur_raw_action,float32,"(0,)",0
cur_reset,float32,"(1,)",1
cur_v,float32,"(1,)",1
deprec,float32,"(1,)",1
k,float32,"(40,)",40
max_rollout_return,float32,"(1,)",1
rollout_return,float32,"(1,)",1
root_action,float32,"(6,)",6
root_d,float32,"(1,)",1
root_ns,float32,"(6,)",6
root_policy,float32,"(6,)",6
root_qs_max,float32,"(6,)",6
root_qs_mean,float32,"(6,)",6
root_r,float32,"(1,)",1
root_raw_action,float32,"(0,)",0
root_trail_r,float32,"(1,)",1
root_v,float32,"(1,)",1
