iter	MultiClass
0	1.769955902
1	1.750975492
2	1.733911858
3	1.715873759
4	1.698849072
5	1.682722633
6	1.666188445
7	1.648625972
8	1.634033251
9	1.620161432
10	1.606298718
11	1.593784505
12	1.580351529
13	1.567501328
14	1.554108869
15	1.54077492
16	1.527824857
17	1.514949224
18	1.502193105
19	1.489734501
20	1.477853602
21	1.466726214
22	1.456672179
23	1.445929192
24	1.434392923
25	1.424365965
26	1.413722332
27	1.403534358
28	1.393923279
29	1.384801116
30	1.375607424
31	1.366765122
32	1.357810959
33	1.348117252
34	1.33947835
35	1.330887512
36	1.322867569
37	1.314251425
38	1.305392883
39	1.297548977
40	1.289515845
41	1.282458522
42	1.274998303
43	1.268909675
44	1.261781645
45	1.254861153
46	1.248089131
47	1.241139308
48	1.234216132
49	1.227143726
50	1.220340372
51	1.213298713
52	1.207009058
53	1.201119514
54	1.195205982
55	1.188832986
56	1.182658118
57	1.177250244
58	1.171811591
59	1.165547225
60	1.160171782
61	1.154390424
62	1.149509368
63	1.144896955
64	1.139271897
65	1.13422306
66	1.129191339
67	1.124257096
68	1.119466334
69	1.114425418
70	1.109174104
71	1.105003878
72	1.100726452
73	1.096221691
74	1.091683362
75	1.087139976
76	1.082798857
77	1.078589981
78	1.073911805
79	1.069377847
80	1.065515707
81	1.061003386
82	1.056704971
83	1.052330554
84	1.048675446
85	1.044561116
86	1.040545109
87	1.036221521
88	1.032300319
89	1.028473512
90	1.024233148
91	1.020691061
92	1.017340484
93	1.013652855
94	1.009922846
95	1.006574639
96	1.003269149
97	0.9999568025
98	0.9967033075
99	0.9930878953
100	0.9896029404
101	0.9860059698
102	0.9824137583
103	0.9793367476
104	0.976294113
105	0.9733569148
106	0.970364527
107	0.9671887827
108	0.963935231
109	0.9608657735
110	0.9576182998
111	0.9545764075
112	0.9514975259
113	0.9489448673
114	0.9460398135
115	0.9429595079
116	0.9398665669
117	0.937213851
118	0.9343623572
119	0.9315431778
120	0.9291036371
121	0.9265111007
122	0.9238875931
123	0.9211985715
124	0.9184686008
125	0.9160252627
126	0.9133821308
127	0.9109724396
128	0.9084234509
129	0.9059022092
130	0.9034284889
131	0.9009899275
132	0.8985762818
133	0.8961696365
134	0.8934877048
135	0.8909983484
136	0.8885907131
137	0.8862849537
138	0.8841857013
139	0.8820521211
140	0.8797561196
141	0.8774702378
142	0.875035075
143	0.8727231188
144	0.8705089637
145	0.868025713
146	0.8657513118
147	0.8636764632
148	0.8615992516
149	0.8594059341
150	0.8572932209
151	0.8550959737
152	0.8528610478
153	0.8508506121
154	0.8488311221
155	0.8470102392
156	0.8452121882
157	0.84306365
158	0.8407876385
159	0.8387693843
160	0.8369166152
161	0.835015835
162	0.8332713012
163	0.8312814227
164	0.8295358223
165	0.8275879103
166	0.8258752752
167	0.8239288476
168	0.8222076077
169	0.8204389949
170	0.8186844961
171	0.8169573016
172	0.8151173512
173	0.8134928121
174	0.8118978196
175	0.8102247848
176	0.8085455742
177	0.8068211854
178	0.8050264877
179	0.8034872722
180	0.8017751905
181	0.8001812797
182	0.7985825202
183	0.7971229449
184	0.7955899011
185	0.7939424414
186	0.7923513078
187	0.7907888851
188	0.7893047067
189	0.787877239
190	0.786293924
191	0.7846453648
192	0.7831012852
193	0.7813649239
194	0.7800662136
195	0.7785396412
196	0.7769865328
197	0.775537933
198	0.774061436
199	0.7726112253
200	0.7712482354
201	0.7698448895
202	0.7685892946
203	0.7671435268
204	0.7659082038
205	0.764439305
206	0.7631409604
207	0.7617379894
208	0.7604252588
209	0.7591225398
210	0.7578073821
211	0.7565169015
212	0.7552625717
213	0.7539464628
214	0.7527029248
215	0.7515884326
216	0.7502786449
217	0.7490206561
218	0.7477802561
219	0.7464940284
220	0.745272192
221	0.7440676549
222	0.7428643747
223	0.741602243
224	0.7404771039
225	0.7393062027
226	0.7380697912
227	0.736855837
228	0.7356779828
229	0.7345332805
230	0.7333502322
231	0.7322236799
232	0.7310166859
233	0.7298822735
234	0.7287945537
235	0.7276969716
236	0.7265287399
237	0.7253842581
238	0.7242367437
239	0.7232334946
240	0.7221842997
241	0.72115779
242	0.7200435499
243	0.7190254536
244	0.7179030553
245	0.7168911909
246	0.7158764256
247	0.7148240166
248	0.7137719309
249	0.7126264451
250	0.7116216567
251	0.7107046525
252	0.709550885
253	0.7085306256
254	0.7075717544
255	0.7064642077
256	0.7055447098
257	0.7045410081
258	0.7035107752
259	0.702563307
260	0.70158207
261	0.7006367656
262	0.6997342526
263	0.6987641479
264	0.6977917489
265	0.6968220945
266	0.6959093529
267	0.6948724891
268	0.6938475288
269	0.6928301891
270	0.6919663823
271	0.6911003082
272	0.6901328572
273	0.6891489025
274	0.6882459466
275	0.6873494357
276	0.6864749444
277	0.6856818068
278	0.6848048607
279	0.6838654865
280	0.6829944214
281	0.6821392898
282	0.6812646915
283	0.6804548801
284	0.6796218546
285	0.6787386604
286	0.6778885023
287	0.6771675336
288	0.6762996152
289	0.6754687206
290	0.6746721939
291	0.6739400308
292	0.6731594212
293	0.6723301381
294	0.6715649748
295	0.6707103282
296	0.6699445839
297	0.6691220112
298	0.6683934345
299	0.6676619551
300	0.6669383453
301	0.6662678357
302	0.6654277222
303	0.6647472343
304	0.6640084508
305	0.6632317663
306	0.6624290668
307	0.6616799659
308	0.660958121
309	0.6602253547
310	0.6595158962
311	0.6587399328
312	0.658039518
313	0.6572626665
314	0.6565637084
315	0.6557935602
316	0.6551519096
317	0.6544664891
318	0.6537706261
319	0.6530559659
320	0.6524494015
321	0.6517167403
322	0.6510358445
323	0.6504061997
324	0.6497815308
325	0.6490611859
326	0.6483808215
327	0.6477494873
328	0.6470593698
329	0.6464215344
330	0.6458095785
331	0.6451522582
332	0.6445357553
333	0.6438403267
334	0.6430808296
335	0.6423774216
336	0.641766981
337	0.6411008289
338	0.6404322636
339	0.6397672697
340	0.6391118319
341	0.6384863106
342	0.637863865
343	0.6372175474
344	0.6365637238
345	0.6359674044
346	0.6353310759
347	0.6346681641
348	0.6340449327
349	0.6333488814
350	0.6326490382
351	0.6319563436
352	0.6313881639
353	0.6308039497
354	0.630160296
355	0.6295156918
356	0.6289026341
357	0.6283492015
358	0.6277604455
359	0.6271347044
360	0.6265864815
361	0.625943849
362	0.6252444221
363	0.6246606604
364	0.6240109725
365	0.623456814
366	0.6228474497
367	0.6222266158
368	0.6216453225
369	0.621090234
370	0.6205658542
371	0.6200627565
372	0.6195076174
373	0.6190510276
374	0.6184660818
375	0.6178593632
376	0.617299354
377	0.6167752883
378	0.6161570192
379	0.6156209702
380	0.6150721357
381	0.6144435032
382	0.6139057545
383	0.6133458831
384	0.6128632319
385	0.6123045493
386	0.6118048476
387	0.611362127
388	0.6107502984
389	0.6102308857
390	0.6096384785
391	0.6090598098
392	0.6084869641
393	0.6080561821
394	0.6074977191
395	0.6069534117
396	0.6063811427
397	0.605912612
398	0.605384792
399	0.6048997428
400	0.6043990984
401	0.6038406804
402	0.6032473769
403	0.602746134
404	0.6022330325
405	0.601718411
406	0.6012364148
407	0.6007605098
408	0.6002574042
409	0.5997353238
410	0.5992841214
411	0.5988646688
412	0.5984074076
413	0.5979629834
414	0.597441911
415	0.5969950392
416	0.5965390857
417	0.5960967229
418	0.5956135273
419	0.5951064091
420	0.5945977813
421	0.5941324781
422	0.593612245
423	0.5931872357
424	0.5926997141
425	0.5921832451
426	0.591650811
427	0.5911708617
428	0.5907016871
429	0.5902838219
430	0.5897545428
431	0.5893228308
432	0.5888661784
433	0.5883821118
434	0.5879373998
435	0.5874496704
436	0.5870352151
437	0.5866542987
438	0.5862273052
439	0.5858081593
440	0.5854088553
441	0.5848926902
442	0.5844662443
443	0.584033025
444	0.5835974537
445	0.5831778597
446	0.5827185634
447	0.5822889477
448	0.5817825057
449	0.5814190141
450	0.5810173257
451	0.5805146872
452	0.5801166555
453	0.5796724997
454	0.5791813693
455	0.578694552
456	0.5781776797
457	0.57771982
458	0.5772891623
459	0.5768135761
460	0.5763403405
461	0.5758754989
462	0.5754867861
