iter	Passed	Remaining
0	6727	6721159
1	13428	6701053
2	20172	6704147
3	26887	6694921
4	33579	6682310
5	40329	6681176
6	47046	6673893
7	53705	6659465
8	60422	6653158
9	67176	6650489
10	73893	6643736
11	80628	6638392
12	87399	6635662
13	94077	6625709
14	100815	6620202
15	107560	6614947
16	114273	6607671
17	120970	6599632
18	127728	6594821
19	134422	6586683
20	141117	6578782
21	147857	6572930
22	154564	6565614
23	161363	6562099
24	168059	6554311
25	174890	6551671
26	181622	6545132
27	188344	6538246
28	195091	6532195
29	201841	6526198
30	208500	6517319
31	215233	6510801
32	221952	6503877
33	228688	6497447
34	235423	6490971
35	242123	6483542
36	248813	6475881
37	255488	6467904
38	262227	6461546
39	268977	6455457
40	275678	6448179
41	282370	6440744
42	289102	6434205
43	295933	6429833
44	302669	6423313
45	309407	6416846
46	316099	6409422
47	322778	6401765
48	329498	6394961
49	336217	6388123
50	342951	6381590
51	349652	6374437
52	356429	6368662
53	363205	6362829
54	370026	6357731
55	376790	6351610
56	383548	6345365
57	390258	6338343
58	397021	6332159
59	403691	6324504
60	410392	6317352
61	417147	6311031
62	423902	6304702
63	430632	6297993
64	437394	6291756
65	444113	6284875
66	450876	6278624
67	457615	6272028
68	464384	6265823
69	471177	6259935
70	477866	6252649
71	484659	6246724
72	491461	6240882
73	498177	6233952
74	504904	6227159
75	511624	6220277
76	518398	6214050
77	525147	6207516
78	531805	6199912
79	538550	6193331
80	545312	6186937
81	552018	6179915
82	558812	6173864
83	565562	6167329
84	572314	6160800
85	579062	6154219
86	585781	6147340
87	592469	6140142
88	599205	6133442
89	605931	6126636
90	612629	6119557
91	619328	6112506
92	626129	6106444
93	632889	6099974
94	639699	6093982
95	646406	6086997
96	653134	6080215
97	659850	6073322
98	666579	6066543
99	673339	6060056
100	680058	6053198
101	686870	6047154
102	693553	6039977
103	700392	6034153
104	707118	6027347
105	713893	6020948
106	720649	6014394
107	727388	6007688
108	734145	6001137
109	740899	5994548
110	747677	5988153
111	754381	5981169
112	761047	5973883
113	767829	5967520
114	774550	5960670
115	781288	5953953
116	787982	5946911
117	794714	5940157
118	801369	5932826
119	808171	5926588
120	814936	5920077
121	821703	5913568
122	828432	5906788
123	835185	5900179
124	841908	5893359
125	848660	5886742
126	855385	5879931
127	862099	5873051
128	868876	5866602
129	875642	5860071
130	882378	5853337
131	889107	5846558
132	895855	5839898
133	902581	5833098
134	909313	5826340
135	916022	5819440
136	922769	5812774
137	929521	5806140
138	936349	5799975
139	943178	5793808
140	949950	5787285
141	956617	5780122
142	963347	5773348
143	970099	5766702
144	976790	5759696
145	983518	5752908
146	990293	5746399
147	997097	5740045
148	1003809	5733164
149	1010512	5726237
150	1017244	5719474
151	1023978	5712723
152	1030742	5706135
153	1037447	5699223
154	1044232	5692750
155	1050983	5686089
156	1057727	5679392
157	1064476	5672714
158	1071164	5665719
159	1077816	5658537
160	1084591	5652004
161	1091258	5644906
162	1097983	5638113
163	1104748	5631524
164	1111459	5624658
165	1118217	5618034
166	1124936	5611210
167	1131675	5604487
168	1138426	5597825
169	1145129	5590927
170	1151844	5584088
171	1158550	5577208
172	1165315	5570613
173	1171996	5563614
174	1178732	5556879
175	1185437	5550004
176	1192161	5543214
177	1198855	5536285
178	1205519	5529226
179	1212296	5522683
180	1219053	5516049
181	1225715	5508983
182	1232487	5502416
183	1239283	5495952
184	1246085	5489511
185	1252804	5482704
186	1259478	5475698
187	1266179	5468818
188	1272923	5462119
189	1279657	5455382
190	1286423	5448779
191	1293155	5442028
192	1299908	5435368
193	1306646	5428646
194	1313391	5421951
195	1320129	5415225
196	1326866	5408496
197	1333556	5401576
198	1340293	5394848
199	1347000	5388002
200	1353824	5381621
201	1360589	5375003
202	1367373	5368456
203	1374124	5361778
204	1380869	5355080
205	1387659	5348551
206	1394368	5341710
207	1401104	5334976
208	1407824	5328177
209	1414535	5321347
210	1421338	5314864
211	1428051	5308041
212	1434892	5301691
213	1441664	5295087
214	1448372	5288242
215	1455120	5281548
216	1461823	5274689
217	1468569	5267988
218	1475385	5261532
219	1482110	5254755
220	1488891	5248173
221	1495666	5241570
222	1502379	5234747
223	1509056	5227802
224	1515742	5220890
225	1522460	5214091
226	1529148	5207188
227	1535921	5200577
228	1542635	5193764
229	1549321	5186860
230	1556040	5180067
231	1562763	5173284
232	1569480	5166486
233	1576231	5159799
234	1582888	5152808
235	1589631	5146093
236	1596380	5139402
237	1603116	5132667
238	1609853	5125936
239	1616616	5119287
240	1623336	5112499
241	1630127	5105936
