game,game_name,entity,entity_type,action_id,mean_prop,sem_prop,n_episodes
1,Pong,S1,human,0,0.9184922769948094,0.006783802568480377,11
1,Pong,S1,human,1,7.506523657782943e-05,1.170023165657342e-05,11
1,Pong,S1,human,2,0.040515941470380006,0.003367856243689909,11
1,Pong,S1,human,3,0.04091671629823287,0.003435216409894646,11
1,Pong,S1,human,4,0.0,0.0,11
1,Pong,S1,human,5,0.0,0.0,11
1,Pong,S2,human,0,0.9073200987725211,0.004321896896975966,11
1,Pong,S2,human,1,0.0001003348984906906,1.6763407459768702e-06,11
1,Pong,S2,human,2,0.04623117440864453,0.0021888531005757102,11
1,Pong,S2,human,3,0.046348391920343596,0.002149464026095823,11
1,Pong,S2,human,4,0.0,0.0,11
1,Pong,S2,human,5,0.0,0.0,11
1,Pong,S3,human,0,0.8758278639054917,0.01930168682135538,11
1,Pong,S3,human,1,8.574543285586512e-05,4.032896258797223e-08,11
1,Pong,S3,human,2,0.060850385427814076,0.00930749587983569,11
1,Pong,S3,human,3,0.06323600523383831,0.01007590042548472,11
1,Pong,S3,human,4,0.0,0.0,11
1,Pong,S3,human,5,0.0,0.0,11
1,Pong,S4,human,0,0.7904985216811309,0.0273296665976856,11
1,Pong,S4,human,1,0.002263390606980719,0.000616864004136571,11
1,Pong,S4,human,2,0.10084568171461465,0.01337842162258504,11
1,Pong,S4,human,3,0.10482418460283097,0.014332089976316634,11
1,Pong,S4,human,4,0.0005154328250707868,0.00016200812104378613,11
1,Pong,S4,human,5,0.0010527885693720148,0.0004613262516720728,11
1,Pong,S5,human,0,0.8231284510467577,0.006808688987503073,11
1,Pong,S5,human,1,8.580327432676686e-05,1.472370326975489e-07,11
1,Pong,S5,human,2,0.08666714792654494,0.0031665239024252032,11
1,Pong,S5,human,3,0.09011859775237073,0.0036699570619506986,11
1,Pong,S5,human,4,0.0,0.0,11
1,Pong,S5,human,5,0.0,0.0,11
1,Pong,S6,human,0,0.9008524864488929,0.008718338545652233,11
1,Pong,S6,human,1,0.0005054485987919586,0.00033105482707151404,11
1,Pong,S6,human,2,0.048129936624879195,0.00430241172353782,11
1,Pong,S6,human,3,0.0504498671573929,0.004246954239264429,11
1,Pong,S6,human,4,0.0,0.0,11
1,Pong,S6,human,5,6.226117004303803e-05,6.226117004303803e-05,11
1,Pong,Thinker,thinker,0,0.01965334685843165,0.0005979239734020084,3
1,Pong,Thinker,thinker,1,0.03339031041164634,0.0009441372818594495,3
1,Pong,Thinker,thinker,2,0.0028217019057949627,0.0006527057043627885,3
1,Pong,Thinker,thinker,3,0.5635466326142228,0.008658970481228942,3
1,Pong,Thinker,thinker,4,0.15690142665487458,0.007588183598105645,3
1,Pong,Thinker,thinker,5,0.22368658155502966,0.011824806590453266,3
2,SpaceInvaders,S1,human,0,0.3945366699606654,0.005874579739167056,50
2,SpaceInvaders,S1,human,1,0.16807016985767198,0.006462844741358316,50
2,SpaceInvaders,S1,human,2,0.22908582096787544,0.0035761134786730315,50
2,SpaceInvaders,S1,human,3,0.1683303481401666,0.00402617568005509,50
2,SpaceInvaders,S1,human,4,0.020995269575423938,0.0011561171703301165,50
2,SpaceInvaders,S1,human,5,0.018981721498196488,0.0011318558546696527,50
2,SpaceInvaders,S2,human,0,0.5305311808110011,0.00818597944234826,54
2,SpaceInvaders,S2,human,1,0.2308499951954871,0.007521132394667084,54
2,SpaceInvaders,S2,human,2,0.1482980469645794,0.004388224299379619,54
2,SpaceInvaders,S2,human,3,0.08001614505591544,0.004177854476267976,54
2,SpaceInvaders,S2,human,4,0.006043028446754233,0.0005880396826409513,54
2,SpaceInvaders,S2,human,5,0.004261603526262738,0.0004775899689112501,54
2,SpaceInvaders,S3,human,0,0.3949459975431608,0.01368680290801365,32
