subject,game,game_name,day,bout_length,cross2,bout_class
sub_1,1,Pong,1,80,80,Long
sub_1,1,Pong,1,49,80,Short
sub_1,1,Pong,1,9,80,Short
sub_1,1,Pong,1,30,80,Short
sub_1,1,Pong,1,15,80,Short
sub_1,1,Pong,1,11,80,Short
sub_1,1,Pong,1,8,80,Short
sub_1,1,Pong,1,12,80,Short
sub_1,1,Pong,1,25,80,Short
sub_1,1,Pong,1,68,80,Short
sub_1,1,Pong,1,37,80,Short
sub_1,1,Pong,1,9,80,Short
sub_1,1,Pong,1,28,80,Short
sub_1,1,Pong,1,72,80,Short
sub_1,1,Pong,1,10,80,Short
sub_1,1,Pong,1,99,80,Long
sub_1,1,Pong,1,73,80,Short
sub_1,1,Pong,1,35,80,Short
sub_1,1,Pong,1,172,80,Long
sub_1,1,Pong,1,39,80,Short
sub_1,1,Pong,1,194,80,Long
sub_1,1,Pong,1,24,80,Short
sub_1,1,Pong,1,31,80,Short
sub_1,1,Pong,1,11,80,Short
sub_1,1,Pong,1,11,80,Short
sub_1,1,Pong,1,8,80,Short
sub_1,1,Pong,1,5,80,Short
sub_1,1,Pong,1,13,80,Short
sub_1,1,Pong,1,23,80,Short
sub_1,1,Pong,1,137,80,Long
sub_1,1,Pong,1,64,80,Short
sub_1,1,Pong,1,169,80,Long
sub_1,1,Pong,1,8,80,Short
sub_1,1,Pong,1,87,80,Long
sub_1,1,Pong,1,111,80,Long
sub_1,1,Pong,1,6,80,Short
sub_1,1,Pong,1,22,80,Short
sub_1,1,Pong,1,29,80,Short
sub_1,1,Pong,1,25,80,Short
sub_1,1,Pong,1,6,80,Short
sub_1,1,Pong,1,43,80,Short
sub_1,1,Pong,1,149,80,Long
sub_1,1,Pong,1,6,80,Short
sub_1,1,Pong,1,15,80,Short
sub_1,1,Pong,1,23,80,Short
sub_1,1,Pong,1,100,80,Long
sub_1,1,Pong,1,32,80,Short
sub_1,1,Pong,1,43,80,Short
sub_1,1,Pong,1,42,80,Short
sub_1,1,Pong,1,26,80,Short
sub_1,1,Pong,1,28,80,Short
sub_1,1,Pong,1,69,80,Short
sub_1,1,Pong,1,45,80,Short
sub_1,1,Pong,1,74,80,Short
sub_1,1,Pong,1,9,80,Short
sub_1,1,Pong,1,17,80,Short
sub_1,1,Pong,1,27,80,Short
sub_1,1,Pong,1,13,80,Short
sub_1,1,Pong,1,25,80,Short
sub_1,1,Pong,1,37,80,Short
sub_1,1,Pong,1,34,80,Short
sub_1,1,Pong,1,340,80,Long
sub_1,1,Pong,1,21,80,Short
sub_1,1,Pong,1,17,80,Short
sub_1,1,Pong,1,13,80,Short
sub_1,1,Pong,1,165,80,Long
sub_1,1,Pong,1,49,80,Short
sub_1,1,Pong,1,16,80,Short
sub_1,1,Pong,1,6,80,Short
sub_1,1,Pong,1,20,80,Short
sub_1,1,Pong,1,15,80,Short
sub_1,1,Pong,1,11,80,Short
sub_1,1,Pong,1,11,80,Short
sub_1,1,Pong,1,10,80,Short
sub_1,1,Pong,1,38,80,Short
sub_1,1,Pong,1,49,80,Short
sub_1,1,Pong,1,9,80,Short
sub_1,1,Pong,1,43,80,Short
sub_1,1,Pong,1,25,80,Short
sub_1,1,Pong,1,8,80,Short
sub_1,1,Pong,1,94,80,Long
sub_1,1,Pong,1,12,80,Short
sub_1,1,Pong,1,156,80,Long
sub_1,1,Pong,1,13,80,Short
sub_1,1,Pong,1,12,80,Short
sub_1,1,Pong,1,184,80,Long
sub_1,1,Pong,1,34,80,Short
sub_1,1,Pong,1,39,80,Short
sub_1,1,Pong,1,163,80,Long
sub_1,1,Pong,1,101,80,Long
sub_1,1,Pong,1,15,80,Short
sub_1,1,Pong,1,16,80,Short
sub_1,1,Pong,1,31,80,Short
sub_1,1,Pong,1,436,80,Long
sub_1,1,Pong,1,21,80,Short
sub_1,1,Pong,1,17,80,Short
sub_1,1,Pong,1,6,80,Short
sub_1,1,Pong,1,84,80,Long
sub_1,1,Pong,1,109,80,Long
sub_1,1,Pong,1,7,80,Short
sub_1,1,Pong,1,11,80,Short
sub_1,1,Pong,1,46,80,Short
sub_1,1,Pong,1,279,80,Long
sub_1,1,Pong,1,10,80,Short
sub_1,1,Pong,1,16,80,Short
sub_1,1,Pong,1,130,80,Long
sub_1,1,Pong,1,10,80,Short
sub_1,1,Pong,1,12,80,Short
sub_1,1,Pong,1,36,80,Short
sub_1,1,Pong,1,24,80,Short
sub_1,1,Pong,1,96,80,Long
sub_1,1,Pong,1,12,80,Short
sub_1,1,Pong,1,20,80,Short
sub_1,1,Pong,1,32,80,Short
sub_1,1,Pong,1,42,80,Short
sub_1,1,Pong,1,33,80,Short
sub_1,1,Pong,1,117,80,Long
sub_1,1,Pong,1,308,80,Long
sub_1,1,Pong,1,215,80,Long
sub_1,1,Pong,1,21,80,Short
sub_1,1,Pong,1,117,80,Long
sub_1,1,Pong,1,41,80,Short
sub_1,1,Pong,1,21,80,Short
sub_1,1,Pong,1,75,80,Short
sub_1,1,Pong,1,17,80,Short
sub_1,1,Pong,1,22,80,Short
sub_1,1,Pong,1,23,80,Short
sub_1,1,Pong,1,19,80,Short
sub_1,1,Pong,1,44,80,Short
sub_1,1,Pong,1,138,80,Long
sub_1,1,Pong,1,6,80,Short
sub_1,1,Pong,1,116,80,Long
sub_1,1,Pong,1,16,80,Short
sub_1,1,Pong,1,22,80,Short
sub_1,1,Pong,1,10,80,Short
sub_1,1,Pong,1,150,80,Long
sub_1,1,Pong,1,27,80,Short
sub_1,1,Pong,1,45,80,Short
sub_1,1,Pong,1,12,80,Short
sub_1,1,Pong,1,36,80,Short
sub_1,1,Pong,1,37,80,Short
sub_1,1,Pong,1,64,80,Short
sub_1,1,Pong,1,36,80,Short
sub_1,1,Pong,1,21,80,Short
sub_1,1,Pong,1,81,80,Long
sub_1,1,Pong,1,14,80,Short
sub_1,1,Pong,1,5,80,Short
sub_1,1,Pong,1,18,80,Short
sub_1,1,Pong,1,46,80,Short
sub_1,1,Pong,1,8,80,Short
sub_1,1,Pong,1,83,80,Long
sub_1,1,Pong,1,13,80,Short
sub_1,1,Pong,1,12,80,Short
sub_1,1,Pong,1,9,80,Short
sub_1,1,Pong,1,62,80,Short
sub_1,1,Pong,1,83,80,Long
sub_1,1,Pong,1,31,80,Short
sub_1,1,Pong,1,14,80,Short
sub_1,1,Pong,1,79,80,Short
sub_1,1,Pong,1,61,80,Short
sub_1,1,Pong,1,12,80,Short
