subject,game,game_name,n_bouts,cross2,n_short,n_long,pct_long
sub_1,1,Pong,2152,80,1615,537,0.24953531598513012
sub_1,2,SpaceInvaders,11487,26,10799,688,0.05989379298337251
sub_2,1,Pong,1800,81,1388,412,0.2288888888888889
sub_2,2,SpaceInvaders,9745,32,8665,1080,0.11082606464853771
sub_3,1,Pong,1557,110,1265,292,0.18754014129736674
sub_3,2,SpaceInvaders,8728,24,7988,740,0.0847846012832264
sub_4,1,Pong,3198,58,2685,513,0.16041275797373358
sub_4,2,SpaceInvaders,12824,17,11856,968,0.07548346849656894
sub_5,1,Pong,2457,61,1862,595,0.24216524216524216
sub_5,2,SpaceInvaders,5478,57,5202,276,0.050383351588170866
sub_6,1,Pong,1874,86,1408,466,0.2486659551760939
sub_6,2,SpaceInvaders,11847,17,11018,829,0.06997552122900312
