event_id,file,subject,game,bout_length,cross2,is_long,bout_class,n_changes,change_rate,n_unique_cur_actions,dominant_action_fraction,final_cur_action,modal_cur_action,mean_imag_nonnoop_fraction,commit_action,commit_search_final_action,commit_search_modal_action,commit_matches_final_cur_action,commit_matches_modal_cur_action,commit_matches_commit_search_final,commit_matches_commit_search_modal
sub001-ses04-block2-game2_000::b0001,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,9,26,0,Short,6,0.75,4,0.3333333333333333,4,1,0.8759690514382392,3,4,3,0,0,0,1
sub001-ses04-block2-game2_000::b0002,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,16,26,0,Short,14,0.9333333333333333,4,0.375,3,5,0.8966135050024916,1,5,1,0,0,0,1
sub001-ses04-block2-game2_000::b0003,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,20,26,0,Short,15,0.7894736842105263,5,0.3,3,1,0.8447081917965213,2,2,1,0,0,1,0
sub001-ses04-block2-game2_000::b0004,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,13,26,0,Short,11,0.9166666666666666,5,0.38461538461538464,3,4,0.8554030498704234,2,4,1,0,0,0,0
sub001-ses04-block2-game2_000::b0005,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,6,26,0,Short,5,1.0,4,0.3333333333333333,5,3,0.8940168008821372,3,2,1,0,1,0,0
sub001-ses04-block2-game2_000::b0006,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,3,0.3333333333333333,3,1,0.8894195976262845,2,4,0,0,0,0,0
sub001-ses04-block2-game2_000::b0007,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,4,1.0,5,0.2,1,0,0.8819815837699713,2,0,2,0,0,0,1
sub001-ses04-block2-game2_000::b0008,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,2,0.3333333333333333,3,0.42857142857142855,4,1,0.8684716916476376,3,1,5,0,0,0,0
sub001-ses04-block2-game2_000::b0009,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,9,26,0,Short,8,1.0,6,0.2222222222222222,3,1,0.8256807112734165,1,5,5,0,1,0,0
sub001-ses04-block2-game2_000::b0010,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,6,1.0,6,0.2857142857142857,0,1,0.8478226640052177,1,4,1,0,1,0,1
