event_id,file,subject,session,block,game,chunk,start_pos,end_pos,pre_pos,commit_pos,length_real_steps,start_global_idx,end_global_idx,commit_global_idx,commit_action,entropy_at_pre,entropy_at_onset,entropy_at_commit,margin_at_pre,margin_at_onset,margin_at_commit,q_gap_at_pre,q_gap_at_onset,q_gap_at_commit,rollout_spread_at_pre,rollout_spread_at_onset,rollout_spread_at_commit,cross2,is_long,bout_class
sub001-ses04-block2-game2_000::b0001,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,88,96,87,97,9,4535,4948,5003,3,0.4890990945628729,0.4770488994336012,0.7515816878904101,0.8029728824789345,0.7714771486297393,0.7175728804348042,0.0,0.0,0.047670602798461914,0.0,0.0,0.11115479469299316,26,0,Short
sub001-ses04-block2-game2_000::b0002,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,111,126,110,127,16,5738,6493,6539,1,0.46540983258404744,0.39742211260837446,0.6051712529842546,0.7998852534296849,0.8364325955938953,0.7683845970353749,2.5657060146331787,2.714529037475586,0.015108823776245117,0.0,0.06679439544677734,0.12865304946899414,26,0,Short
sub001-ses04-block2-game2_000::b0003,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,133,152,132,153,20,6851,7810,7858,2,0.9949123667360549,1.0568568856226188,0.599947987665485,0.319526658091279,0.33229408239868824,0.7853300607578575,3.279798746109009,0.03577613830566406,0.3088374137878418,0.08599996566772461,0.0,0.5282382965087891,26,0,Short
sub001-ses04-block2-game2_000::b0004,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,164,176,163,177,13,8408,9009,9058,2,0.5992053859467714,0.7702928145916756,0.7954925607660568,0.6625362786976086,0.5057466732238873,0.6415345905966647,3.5573832988739014,3.597649097442627,0.2287909984588623,0.0,0.07948637008666992,0.6684975624084473,26,0,Short
sub001-ses04-block2-game2_000::b0005,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,191,196,190,197,6,9744,9989,10043,3,0.8538931525914556,0.5824203869297888,0.6904136295343329,0.4302147100725706,0.7034350423819483,0.7294713146268891,0.0,0.0979464054107666,4.212465286254883,0.0,0.2952899932861328,0.7162034511566162,26,0,Short
sub001-ses04-block2-game2_000::b0006,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,211,213,210,214,3,10767,10866,10914,2,0.5631189222312035,0.36993490306237126,0.7700135634405201,0.7353721316109904,0.8619636279874623,0.6355939849486677,0.005943775177001953,3.7050609588623047,3.8572704792022705,0.10565471649169922,0.0,0.3723158836364746,26,0,Short
sub001-ses04-block2-game2_000::b0007,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,231,235,230,236,5,11750,11957,12011,2,0.6183125856718275,0.6383957123811465,0.6776053018158932,0.6121924932479719,0.6426652582366075,0.6995322755622899,3.6179046630859375,3.9479081630706787,3.6180057525634766,0.0,0.7115049362182617,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0008,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,239,245,238,246,7,12152,12449,12499,3,0.512879928848549,0.6037554623069228,0.7725944485179254,0.722939809345257,0.6361728771386099,0.6316673048693442,0.0,3.602444887161255,4.506369590759277,0.0,0.052790164947509766,1.0897216796875,26,0,Short
sub001-ses04-block2-game2_000::b0009,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,250,258,249,259,9,12705,13120,13166,1,0.535291357718576,0.620211247581632,0.8288313901368509,0.7609929806064923,0.7116174675363862,0.5384240552560858,0.030942916870117188,0.2778940200805664,0.0,0.528566837310791,0.2913827896118164,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0010,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,264,270,263,271,7,13439,13753,13803,1,0.8467920100440063,0.8486004989061198,0.7662879624473489,0.35536800698303495,0.4669130614701103,0.5959907388041357,0.0,0.0023412704467773438,4.0367655754089355,0.0,0.26450157165527344,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0011,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,275,277,274,278,3,14024,14125,14180,1,0.770934118342568,0.8277698606850536,1.0271078411227614,0.46776813441873305,0.47375967179656503,0.1708788391595073,0.23560333251953125,0.676917552947998,5.2663493156433105,0.25218963623046875,0.0,0.8790850639343262,26,0,Short
sub001-ses04-block2-game2_000::b0012,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,282,284,281,285,3,14395,14498,14550,1,0.8630649418528595,0.7995728184616708,1.0145022058555417,0.46863925452893973,0.5007138907336272,0.3810925666125547,0.04186296463012695,5.124392509460449,0.2583589553833008,0.0,1.207899570465088,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0013,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,288,290,287,291,3,14715,14818,14868,3,0.8242887279326139,0.7182782542787134,0.8906868200489934,0.4922958897692922,0.531478268214657,0.42277890173745597,0.040181636810302734,0.4913806915283203,0.0,0.0,0.40207481384277344,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0014,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,297,312,296,313,16,15195,15990,16044,2,0.5051494370951166,0.47589201033969836,0.8338823705866052,0.7963988671141735,0.8063334544667623,0.5178130104818909,0.054013729095458984,0.0012803077697753906,3.9730143547058105,0.0,0.0,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0015,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,317,326,316,327,10,16237,16703,16754,1,1.1464113226345023,1.0715943781154054,0.863115504564721,0.18708567947017207,0.2566061488799472,0.44934725091905325,0.0,0.0,0.150665283203125,0.0,0.0,0.4377126693725586,26,0,Short
sub001-ses04-block2-game2_000::b0016,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,332,334,331,335,3,17035,17141,17197,1,0.8530314466091693,0.6900348979643678,0.9990055567306203,0.49766720251832386,0.5601480484296388,0.34689753011828633,1.0244345664978027,0.43843841552734375,0.07454395294189453,0.5545573234558105,0.0,1.0338878631591797,26,0,Short
sub001-ses04-block2-game2_000::b0017,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,338,340,337,341,3,17359,17463,17514,1,0.8233285394657824,0.7380589559500619,0.9843271115828995,0.43203540242876565,0.5451649316582158,0.2110239981618584,0.5986828804016113,0.2898712158203125,0.07023477554321289,0.8188142776489258,0.0,0.5101442337036133,26,0,Short
sub001-ses04-block2-game2_000::b0018,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,345,345,344,346,1,17736,17736,17787,1,0.7918263207956397,0.7887622152868359,0.8752701866023811,0.5310035328612477,0.504315189670168,0.38453349390750186,0.129547119140625,4.277578353881836,4.859283447265625,0.12506389617919922,0.0,0.12866783142089844,26,0,Short
sub001-ses04-block2-game2_000::b0019,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,351,352,350,353,2,18063,18111,18168,1,0.7045752556592594,0.7744736859627325,1.0175361244195593,0.5475625691878498,0.5455039502113698,0.2565458576028826,5.346858024597168,4.352996826171875,4.765110969543457,0.5833134651184082,0.0,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0020,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,356,358,355,359,3,18334,18439,18491,1,0.8669708989539429,1.0143194153354052,0.9733192430268316,0.49962865544147694,0.3627419681536104,0.2545764145277393,0.15121746063232422,0.2037062644958496,0.1938343048095703,0.3875465393066406,0.16412639617919922,0.2364177703857422,26,0,Short
sub001-ses04-block2-game2_000::b0021,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,363,364,362,365,2,18705,18757,18811,1,0.8725773237220432,0.789880686131773,1.0004988440497815,0.517842334698743,0.5268184569264291,0.07979667550313702,0.5503787994384766,4.916666507720947,4.882831573486328,0.7214870452880859,0.030354022979736328,0.11410713195800781,26,0,Short
sub001-ses04-block2-game2_000::b0022,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,369,370,368,371,2,19031,19085,19141,1,0.7685073030559297,0.7602536556433528,1.063410268783025,0.5428343507770007,0.5494444602310579,0.1005040004639895,0.20491743087768555,4.652364253997803,5.04902458190918,0.6807851791381836,0.0,0.3494424819946289,26,0,Short
sub001-ses04-block2-game2_000::b0023,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,375,376,374,377,2,19354,19408,19462,1,0.7481394345820366,0.8250177071486252,1.1583774936796176,0.5414257390925306,0.5025804162403282,0.1430406501061704,0.12933874130249023,0.13839101791381836,4.531966686248779,0.1172327995300293,0.5612201690673828,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0024,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,381,383,380,384,3,19677,19782,19835,1,0.7527154153959238,0.7868166681582183,0.973203831439359,0.5611276426202402,0.5424551285339537,0.16757883614927188,5.127035140991211,0.15868711471557617,0.01082611083984375,0.630579948425293,0.17621231079101562,0.128662109375,26,0,Short
sub001-ses04-block2-game2_000::b0025,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,387,388,386,389,2,19995,20045,20096,3,0.7582192722814289,0.8525448093188638,0.8961281386846394,0.4845080497234787,0.5119919360873701,0.382639262913846,4.310903549194336,0.0,0.24059820175170898,0.16379117965698242,0.0,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0026,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,430,432,429,433,3,22324,22433,22487,1,0.7708919297616226,0.9559707721041937,1.118461172490593,0.5467342685139576,0.4812905702995761,0.24574660413284816,5.359226226806641,1.4566352367401123,5.263095378875732,0.3456459045410156,0.2298421859741211,0.5121879577636719,26,0,Short
sub001-ses04-block2-game2_000::b0027,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,437,440,436,441,4,22711,22868,22921,1,0.7998977222801962,0.7982952772278724,1.3715487820387258,0.5304781948484913,0.5073408275349258,0.17064939396610893,4.006621360778809,5.188989639282227,0.04142904281616211,0.0,0.1447596549987793,0.7376413345336914,26,0,Short
sub001-ses04-block2-game2_000::b0028,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,444,446,443,447,3,23086,23191,23246,1,0.8177919850396761,0.6858994383644422,1.0202860973758858,0.46076804212502465,0.5937849040028933,0.2228348197814422,0.21509170532226562,4.823004245758057,4.460036277770996,0.6152973175048828,0.0,0.019626140594482422,26,0,Short
