metric,phase,bout_class,n,mean,sem,median
entropy_actor,pre,Short,2078,0.904560564970569,0.0047431639899219655,0.8996025794145381
entropy_actor,pre,Long,118,0.8919504292799015,0.028546911175181745,0.9190405668327553
entropy_actor,onset,Short,2078,0.90017406198642,0.004793591032548214,0.8997283461959665
entropy_actor,onset,Long,118,0.8779840121849558,0.030159437061190363,0.9192174620066031
entropy_actor,commit,Short,2078,1.0272638127648375,0.00361113390180855,1.030528868326929
entropy_actor,commit,Long,118,0.9346459420126904,0.01752291496223288,0.9590304177606036
entropy_actor,delta,Short,2078,0.12270324779426849,0.005104954172177458,0.12119347868904068
entropy_actor,delta,Long,118,0.04269551273278874,0.03114953225870916,0.01140372503156678
margin_actor,pre,Short,2078,0.49168604194643145,0.0033782971403842374,0.482907445318039
margin_actor,pre,Long,118,0.5060462830747471,0.020243351139262955,0.47621250880344757
margin_actor,onset,Short,2078,0.49347809827441175,0.003404705736343987,0.48349544094482244
margin_actor,onset,Long,118,0.5209609609668655,0.020771790897391524,0.471037057713164
margin_actor,commit,Short,2078,0.3905088578220749,0.0037981544365143596,0.3925907377513591
margin_actor,commit,Long,118,0.5405074756334285,0.01424135497796716,0.543530396485669
margin_actor,delta,Short,2078,-0.1011771841243565,0.004961585616113239,-0.11248043106547911
margin_actor,delta,Long,118,0.03446119255868163,0.024525101008153385,0.04033118533977045
q_gap,pre,Short,2078,1.230996269541676,0.03590655635406731,0.21541738510131836
q_gap,pre,Long,118,0.9781075807572421,0.12618866667117412,0.1491459310054779
q_gap,onset,Short,2078,1.399083429597129,0.03788513358395993,0.25704748928546906
q_gap,onset,Long,118,0.9421344981923446,0.12615759929321382,0.1460486650466919
q_gap,commit,Short,2078,1.3399300127979494,0.03732690045737649,0.2341899871826172
q_gap,commit,Long,118,1.0642940298480503,0.13066798829985968,0.20025861263275146
q_gap,delta,Short,2078,0.10893374325627331,0.05000519364482691,0.0
q_gap,delta,Long,118,0.08618644909080812,0.17781927529314073,-0.001065373420715332
entropy_actor_prev_s2,pre,Short,2078,1.7387104659570856,0.0008927341344879274,1.7487535917607322
entropy_actor_prev_s2,pre,Long,118,1.7411215602434873,0.0038088454177815697,1.7520778655702804
entropy_actor_prev_s2,onset,Short,2078,1.7390095191147805,0.0008729599497164713,1.7493798819867425
entropy_actor_prev_s2,onset,Long,118,1.7394111633515654,0.003543290560998648,1.7472093020919632
entropy_actor_prev_s2,commit,Short,2078,1.7426043023317148,0.0007906713237844122,1.7514110597114083
entropy_actor_prev_s2,commit,Long,118,1.7461836354247158,0.002918619757377813,1.7506242966392893
entropy_actor_prev_s2,delta,Short,2078,0.0038938363746291974,0.0011459153306821817,0.0014757022833612465
entropy_actor_prev_s2,delta,Long,118,0.005062075181227902,0.004749033061763237,-0.004920073322775331
margin_actor_prev_s2,pre,Short,2078,0.04470254945818664,0.0008501203393425312,0.03419069733000406
margin_actor_prev_s2,pre,Long,118,0.04449025938612996,0.003637368043355548,0.03471932317268171
margin_actor_prev_s2,onset,Short,2078,0.043956004365825196,0.0008055585455250655,0.03507796838850079
margin_actor_prev_s2,onset,Long,118,0.035835281439816756,0.00285248402274603,0.02713999702704338
margin_actor_prev_s2,commit,Short,2078,0.04729200981812562,0.0008199525106994871,0.03812930143714244
margin_actor_prev_s2,commit,Long,118,0.04535647552643098,0.003877406967350367,0.03607713812143534
margin_actor_prev_s2,delta,Short,2078,0.0025894603599389858,0.001146265814714478,0.0021220019980996707
margin_actor_prev_s2,delta,Long,118,0.0008662161403010097,0.005187061406342835,0.0046800637774722514
q_gap_prev_s2,pre,Short,2078,0.12958548570731235,0.003361568785772266,0.08227527141571045
q_gap_prev_s2,pre,Long,118,0.120694352017905,0.015597935920955408,0.07222062349319458
q_gap_prev_s2,onset,Short,2078,0.1306335851813129,0.003205775207255692,0.08728069067001343
q_gap_prev_s2,onset,Long,118,0.1068325398560866,0.010956920485197965,0.06614679098129272
q_gap_prev_s2,commit,Short,2078,0.1290788789090626,0.0033038182642510985,0.08209753036499023
q_gap_prev_s2,commit,Long,118,0.13406207450365615,0.01488196450677441,0.08086025714874268
q_gap_prev_s2,delta,Short,2078,-0.0005066067982497298,0.004319945399925772,0.0012146234512329102
q_gap_prev_s2,delta,Long,118,0.013367722485751167,0.02025903922651027,0.0044628954492509365
rollout_spread,pre,Short,2078,0.27421429830928684,0.007437493811281583,0.14837098121643066
rollout_spread,pre,Long,118,0.22121624963484326,0.031251566047538114,0.03228127956390381
rollout_spread,onset,Short,2078,0.21483297241247537,0.006929969268242211,0.015175163745880127
rollout_spread,onset,Long,118,0.1623106837525206,0.025787856201481114,0.0
rollout_spread,commit,Short,2078,0.255962882607304,0.007516970875966875,0.09471452236175537
rollout_spread,commit,Long,118,0.2806774564718796,0.03965284782076488,0.06481224298477173
rollout_spread,delta,Short,2078,-0.018251415701982805,0.00945091215716163,0.0
rollout_spread,delta,Long,118,0.059461206837036346,0.048153379335122065,0.0
rollout_spread_prev_s2,pre,Short,2078,0.5436941621588907,0.008974606044920277,0.45967286825180054
rollout_spread_prev_s2,pre,Long,118,0.4800027692572103,0.03878541526028521,0.36499127745628357
rollout_spread_prev_s2,onset,Short,2078,0.5474827919402756,0.008502391826799518,0.4748036861419678
rollout_spread_prev_s2,onset,Long,118,0.5146326981597112,0.039922840323444446,0.39392077922821045
rollout_spread_prev_s2,commit,Short,2078,0.5437158654915407,0.009493686893850248,0.4499843120574951
rollout_spread_prev_s2,commit,Long,118,0.49859597066701467,0.03561597100361599,0.43258774280548096
rollout_spread_prev_s2,delta,Short,2078,2.1703332650033298e-05,0.011422838477938119,0.0
rollout_spread_prev_s2,delta,Long,118,0.018593201409804368,0.050438621715540956,0.028039485216140747
