target,feature,label,lag_order,coef,se,z,p,sig,aic,bic,n,event_rate,error
human,entropy_actor,Actor entropy,1,0.029323908390451195,0.016808357815531163,1.744602816781749,0.08105403018792318,ns,29404.63273531591,29492.665158473614,49180,0.38973159821065473,
human,entropy_actor,Actor entropy,2,0.019177082715234297,0.01775514111025347,1.0800861900308787,0.2801038009400181,ns,28949.918788586623,29046.75266456928,49172,0.38967298462539657,
human,entropy_actor,Actor entropy,3,0.01740730772267328,0.017795950377211184,0.9781611745200421,0.3279946156357063,ns,28937.13556548882,29042.77056861684,49164,0.38961435196485233,
human,entropy_actor,Actor entropy,4,0.01990088240760006,0.01774944594394212,1.121211471639892,0.2621978578354264,ns,28898.54051733757,29012.976321851827,49156,0.3895557002197087,
human,entropy_actor,Actor entropy,5,0.02231056437714261,0.01708488113785043,1.305865940601426,0.1915981508893021,ns,28364.06591574008,28487.302195801905,49148,0.38949702938064623,
human,neg_q_gap,Low Q gap,1,-0.00235239985142046,0.01204217522538797,-0.19534675483387773,0.8451214969811802,ns,29407.767200696166,29495.79962385387,49180,0.38973159821065473,
human,neg_q_gap,Low Q gap,2,0.003777360198061473,0.01260392484161802,0.2996971376399097,0.7644081821415898,ns,28951.233240048976,29048.067116031634,49172,0.38967298462539657,
human,neg_q_gap,Low Q gap,3,0.0055070996834810605,0.012346751961902616,0.44603630983062403,0.6555710178336848,ns,28938.1494850049,29043.78448813292,49164,0.38961435196485233,
human,neg_q_gap,Low Q gap,4,0.0033308134753032926,0.011520064906292251,0.2891314851432829,0.7724807603767028,ns,28899.96341196426,29014.39921647852,49156,0.3895557002197087,
human,neg_q_gap,Low Q gap,5,0.0004892068203807892,0.011330948234769593,0.04317439372634614,0.9655625168963043,ns,28365.826184723635,28489.06246478546,49148,0.38949702938064623,
thinker,entropy_actor,Actor entropy,1,0.2496718092725064,0.03998446880149147,6.2442197372194,4.2592087589315425e-10,***,56436.767576691695,56524.7999998494,49180,0.3602277348515657,
thinker,entropy_actor,Actor entropy,2,0.2505192683985305,0.035489828027697595,7.058903418833584,1.6782165877463954e-12,***,54373.031595093744,54469.8654710764,49172,0.36014398438135525,
thinker,entropy_actor,Actor entropy,3,0.2565623811586774,0.033804450981084526,7.589603549610622,3.208857513115147e-14,***,53824.17125210476,53929.806255232776,49164,0.3600805467415182,
thinker,entropy_actor,Actor entropy,4,0.2636268679362173,0.032467559581526494,8.119700751583949,4.673345519030003e-16,***,53532.88169566762,53647.317500181874,49156,0.3600170884530881,
thinker,entropy_actor,Actor entropy,5,0.2691402577983609,0.03184949592006479,8.45037731441162,2.9036289270592314e-17,***,53385.759352105524,53508.995632167345,49148,0.3599739562138846,
thinker,neg_q_gap,Low Q gap,1,0.021811430429168527,0.01587417664964328,1.3740196364552026,0.16943558634746703,ns,57003.89530998466,57091.927733142365,49180,0.3602277348515657,
thinker,neg_q_gap,Low Q gap,2,0.011001563246472633,0.014200618344912973,0.774724239414101,0.4385026246823931,ns,54913.26540494101,55010.09928092367,49172,0.36014398438135525,
thinker,neg_q_gap,Low Q gap,3,0.005161598321703991,0.013958216459918835,0.3697892446735996,0.7115395296058697,ns,54378.69961512086,54484.334618248875,49164,0.3600805467415182,
thinker,neg_q_gap,Low Q gap,4,0.0026552040266369314,0.01378743612600609,0.1925814199515051,0.8472867972617035,ns,54109.78895975622,54224.224764270475,49156,0.3600170884530881,
thinker,neg_q_gap,Low Q gap,5,0.0011909987128359396,0.01356015699896797,0.08783074657075014,0.9300111999607845,ns,53981.5295663009,54104.76584636272,49148,0.3599739562138846,
