target,term,feature,label,coef,se,t,p,sig,n_bouts,r2,aic
human,z_entropy_at_onset,entropy_at_onset,entropy_at_onset,0.0008463161302068502,0.016534576335553747,0.05118462747588186,0.9591830862603673,ns,2196,0.12624072325703972,4778.42976982747
human,z_neg_q_gap_at_onset,neg_q_gap_at_onset,neg_q_gap_at_onset,0.00576289050331513,0.016225771631088293,0.3551689641849472,0.7224973409055906,ns,2196,0.12624072325703972,4778.42976982747
human,z_rollout_spread_at_onset,rollout_spread_at_onset,rollout_spread_at_onset,-0.06070085354759756,0.01751218780258958,-3.4662061777696067,0.0005380677873975454,***,2196,0.12624072325703972,4778.42976982747
human,z_search_jsd_at_onset,search_jsd_at_onset,search_jsd_at_onset,0.2464672074505961,0.016367821232677906,15.058033928091241,7.953433726819001e-49,***,2196,0.12624072325703972,4778.42976982747
human,z_tree_width_at_onset,tree_width_at_onset,tree_width_at_onset,0.03104556314942223,0.017151307973579413,1.810098868100678,0.07041797440137784,ns,2196,0.12624072325703972,4778.42976982747
human,z_prev_reward_5_at_onset,prev_reward_5_at_onset,prev_reward_5_at_onset,-0.05722860786289519,0.015411588884059675,-3.713348980006025,0.00020966447005839442,***,2196,0.12624072325703972,4778.42976982747
thinker,z_entropy_at_onset,entropy_at_onset,entropy_at_onset,-0.062204228279003765,0.006560117230159761,-9.482182420921292,3.3419792919673573e-21,***,6976,0.0415578831282285,10371.581632821866
thinker,z_neg_q_gap_at_onset,neg_q_gap_at_onset,neg_q_gap_at_onset,0.00914054905217276,0.006327351961945948,1.4446089149372412,0.1486127701965005,ns,6976,0.0415578831282285,10371.581632821866
thinker,z_rollout_spread_at_onset,rollout_spread_at_onset,rollout_spread_at_onset,-0.036211019142191936,0.006816781118199947,-5.312040758579306,1.1176273800349407e-07,***,6976,0.0415578831282285,10371.581632821866
thinker,z_search_jsd_at_onset,search_jsd_at_onset,search_jsd_at_onset,-0.028617512289373793,0.006493296394882816,-4.407239489626017,1.0626706059323707e-05,***,6976,0.0415578831282285,10371.581632821866
thinker,z_tree_width_at_onset,tree_width_at_onset,tree_width_at_onset,-0.04418508076649973,0.006681623941750833,-6.612925413297296,4.047204362196978e-11,***,6976,0.0415578831282285,10371.581632821866
thinker,z_prev_reward_5_at_onset,prev_reward_5_at_onset,prev_reward_5_at_onset,0.0013233315933271089,0.006102983984883417,0.21683353530091035,0.828344429684188,ns,6976,0.0415578831282285,10371.581632821866
