target,model,term,feature,label,coef,se,z,p,sig,n,event_rate
human,duration_only,z_bout_age,bout_age,Bout age,-0.7790528486388157,0.050787360769023536,-15.339502522721741,4.1637359477576953e-53,***,18751,0.11754039784544824
human,uncertainty_only,z_entropy_actor,entropy_actor,Actor entropy,-2.068641436553889,0.30287331937418616,-6.830055023757893,8.488206935964267e-12,***,18751,0.11754039784544824
human,uncertainty_only,z_neg_q_gap,neg_q_gap,Low Q gap,-0.3058413941732307,0.11758507085090322,-2.6010223233273786,0.00929464055702683,**,18751,0.11754039784544824
human,uncertainty_only,z_rollout_spread,rollout_spread,Rollout spread,0.1748112184283681,0.06032926800663175,2.8976187546176067,0.003760073563397659,**,18751,0.11754039784544824
human,uncertainty_only,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,5.698198518913775,0.569605038163968,10.003771275059327,1.4670145798291265e-23,***,18751,0.11754039784544824
human,duration_plus_uncertainty,z_bout_age,bout_age,Bout age,-1.6754335187397695,0.16312279921679,-10.270995389878767,9.521709507745739e-25,***,18751,0.11754039784544824
human,duration_plus_uncertainty,z_entropy_actor,entropy_actor,Actor entropy,-2.459125576778985,0.31594210020680935,-7.783469107691855,7.05623889207804e-15,***,18751,0.11754039784544824
human,duration_plus_uncertainty,z_neg_q_gap,neg_q_gap,Low Q gap,-0.2513342820411019,0.10270598506456492,-2.4471240101840563,0.014400128315257468,*,18751,0.11754039784544824
human,duration_plus_uncertainty,z_rollout_spread,rollout_spread,Rollout spread,0.17407821584973018,0.05889382205404094,2.95579756548991,0.0031186170518728478,**,18751,0.11754039784544824
human,duration_plus_uncertainty,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,5.8822614865651115,0.584771365508171,10.059079212015416,8.377823178499479e-24,***,18751,0.11754039784544824
human,entropy_duration_interaction,z_bout_age,bout_age,Bout age,-1.6749327439786938,0.16633996227432649,-10.069334638999187,7.548701573485337e-24,***,18751,0.11754039784544824
human,entropy_duration_interaction,z_entropy_actor,entropy_actor,Actor entropy,-2.4589445563926358,0.30633161134709386,-8.027067613359987,9.98300717859039e-16,***,18751,0.11754039784544824
human,entropy_duration_interaction,z_neg_q_gap,neg_q_gap,Low Q gap,-0.25132234081668803,0.1022748056131596,-2.4573240624605073,0.013997635541740173,*,18751,0.11754039784544824
human,entropy_duration_interaction,z_rollout_spread,rollout_spread,Rollout spread,0.17406847877601264,0.0592040083726008,2.940146850877251,0.003280567258582406,**,18751,0.11754039784544824
human,entropy_duration_interaction,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,5.882328352120115,0.5906229242448763,9.95953274187722,2.2913708628497873e-23,***,18751,0.11754039784544824
human,entropy_duration_interaction,z_entropy_actor:z_bout_age,entropy_actor:bout_age,entropy_actor:bout_age,0.0007965205281930828,0.12193419865109292,0.006532380062399692,0.9947879518710182,ns,18751,0.11754039784544824
