target,model,features,n,events,event_rate,n_predictors,aic,bic,llf,mcfadden_r2,error,delta_aic,delta_bic
human,null,,49188,19175,0.38983085305359033,0,65476.89849909008,65547.32573885242,-32730.44924954504,0.0,,5061.000139619733,4999.376304827689
human,actor_entropy,entropy_actor,49188,19175,0.38983085305359033,1,63571.463072626335,63650.69371735897,-31776.731536313167,0.029138546371927032,,3155.564713155989,3102.7442833342357
human,q_conflict,neg_q_gap,49188,19175,0.38983085305359033,1,65473.4160327463,65552.64667747893,-32727.70801637315,8.375177349351226e-05,,5057.517673275957,5004.697243454197
human,search_disagreement,search_jsd_actor_root,49188,19175,0.38983085305359033,1,65215.221783602516,65294.45242833515,-32598.610891801258,0.004028003304770267,,4799.32342413217,4746.502994310416
human,rollout_spread,rollout_spread,49188,19175,0.38983085305359033,1,64031.90689144533,64111.137536177965,-32006.953445722665,0.022104670739660937,,3616.008531974985,3563.1881021532317
human,actor_margin,neg_actor_policy_gap,49188,19175,0.38983085305359033,1,64710.217362585456,64789.44800731809,-32346.108681292728,0.011742599844016932,,4294.31900311511,4241.4985732933565
human,branch_structure,"branch_entropy,tree_width",49188,19175,0.38983085305359033,2,63127.6321523976,63215.666202100525,-31553.8160761988,0.03594919105372785,,2711.7337929272544,2667.716768075792
human,full_uncertainty,"entropy_actor,neg_q_gap,search_jsd_actor_root,rollout_spread,neg_actor_policy_gap,branch_entropy,tree_width",49188,19175,0.38983085305359033,7,60415.898359470346,60547.94943402473,-30192.949179735173,0.07752719953408949,,0.0,0.0
thinker,null,,49188,17724,0.3603317882410344,0,64132.5449732939,64202.97221305624,-32058.27248664695,0.0,,2290.6597082699736,2229.035873477922
thinker,actor_entropy,entropy_actor,49188,17724,0.3603317882410344,1,63132.14019320329,63211.37083793592,-31557.070096601645,0.01563410474641358,,1290.2549281793617,1237.4344983576084
thinker,q_conflict,neg_q_gap,49188,17724,0.3603317882410344,1,64116.47512718684,64195.70577191947,-32049.23756359342,0.00028182813210830826,,2274.5898621629094,2221.769432341156
thinker,search_disagreement,search_jsd_actor_root,49188,17724,0.3603317882410344,1,64024.39722567897,64103.627870411605,-32003.198612839486,0.0017179301795006152,,2182.5119606550434,2129.69153083329
thinker,rollout_spread,rollout_spread,49188,17724,0.3603317882410344,1,63528.51951093129,63607.750155663925,-31755.259755465646,0.009451935730707794,,1686.634245907364,1633.8138160856106
thinker,actor_margin,neg_actor_policy_gap,49188,17724,0.3603317882410344,1,63734.349699663755,63813.58034439639,-31858.174849831878,0.006241684947260295,,1892.4644346398272,1839.6440048180739
thinker,branch_structure,"branch_entropy,tree_width",49188,17724,0.3603317882410344,2,63259.38398401346,63347.418033716385,-31619.69199200673,0.013680727644413748,,1417.4987189895328,1373.4816941380705
thinker,full_uncertainty,"entropy_actor,neg_q_gap,search_jsd_actor_root,rollout_spread,neg_actor_policy_gap,branch_entropy,tree_width",49188,17724,0.3603317882410344,7,61841.88526502393,61973.936339578315,-30905.942632511964,0.035944851819915136,,0.0,0.0
