target,event_id,file,source_file_name,subject,game,start_pos,end_pos,pre_pos,commit_pos,length_real_steps,entropy_at_pre,entropy_at_onset,entropy_at_commit,neg_q_gap_at_pre,neg_q_gap_at_onset,neg_q_gap_at_commit,rollout_spread_at_onset,search_jsd_at_onset,tree_width_at_onset,prev_reward_5_at_onset,entropy_change_pre_to_commit,neg_q_gap_change_pre_to_commit
human,sub001-ses04-block2-game2_000::human::b0001,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,88,96,87,97,9,0.4890990945628729,0.4770488994336009,0.7515816878904101,-0.0,-0.0,-0.047670602798461914,0.0,0.5221340742679164,0.0,0.0,0.2624825933275372,-0.047670602798461914
human,sub001-ses04-block2-game2_000::human::b0002,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,111,126,110,127,16,0.46540983258404744,0.39742211260837446,0.6051712529842546,-2.5657060146331787,-2.714529037475586,-0.015108823776245117,0.06679439544677734,0.5688373867866929,1.0,0.0,0.13976142040020711,2.5505971908569336
human,sub001-ses04-block2-game2_000::human::b0003,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,133,152,132,153,20,0.9949123667360549,1.0568568856226188,0.5999479876654851,-3.279798746109009,-0.03577613830566406,-0.3088374137878418,0.0,0.36642742116671356,3.0,0.0,-0.3949643790705698,2.970961332321167
human,sub001-ses04-block2-game2_000::human::b0004,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,164,176,163,177,13,0.5992053859467713,0.7702928145916756,0.7954925607660568,-3.5573832988739014,-3.597649097442627,-0.2287909984588623,0.07948637008666992,0.4042991876361738,1.0,0.0,0.19628717481928548,3.328592300415039
human,sub001-ses04-block2-game2_000::human::b0005,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,191,196,190,197,6,0.8538931525914556,0.5824203869297888,0.6904136295343327,-0.0,-0.0979464054107666,-4.212465286254883,0.2952899932861328,0.49413995386525955,2.0,0.0,-0.16347952305712288,-4.212465286254883
human,sub001-ses04-block2-game2_000::human::b0006,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,211,213,210,214,3,0.5631189222312035,0.36993490306237126,0.7700135634405201,-0.005943775177001953,-3.7050609588623047,-3.8572704792022705,0.0,0.5907827120339667,1.0,0.0,0.20689464120931655,-3.8513267040252686
human,sub001-ses04-block2-game2_000::human::b0007,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,231,235,230,236,5,0.6183125856718272,0.6383957123811463,0.6776053018158932,-3.6179046630859375,-3.9479081630706787,-3.6180057525634766,0.7115049362182617,0.46253184104030265,1.0,0.0,0.05929271614406595,-0.0001010894775390625
human,sub001-ses04-block2-game2_000::human::b0008,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,239,245,238,246,7,0.512879928848549,0.6037554623069228,0.7725944485179254,-0.0,-3.602444887161255,-4.506369590759277,0.052790164947509766,0.4527899937182659,1.0,0.0,0.2597145196693763,-4.506369590759277
human,sub001-ses04-block2-game2_000::human::b0009,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,250,258,249,259,9,0.5352913577185759,0.620211247581632,0.8288313901368509,-0.030942916870117188,-0.2778940200805664,-0.0,0.2913827896118164,0.5126912251408802,2.0,0.0,0.293540032418275,0.030942916870117188
human,sub001-ses04-block2-game2_000::human::b0010,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,264,270,263,271,7,0.8467920100440063,0.8486004989061198,0.7662879624473488,-0.0,-0.0023412704467773438,-4.0367655754089355,0.26450157165527344,0.22051260136384382,3.0,0.0,-0.08050404759665752,-4.0367655754089355
human,sub001-ses04-block2-game2_000::human::b0011,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,275,277,274,278,3,0.770934118342568,0.8277698606850538,1.0271078411227614,-0.23560333251953125,-0.676917552947998,-5.2663493156433105,0.0,0.15314673882184984,2.0,0.0,0.25617372278019346,-5.030745983123779
human,sub001-ses04-block2-game2_000::human::b0012,/home/jmme425/thinker/test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001-ses04-block2-game2_000.npy,1,2,282,284,281,285,3,0.8630649418528595,0.7995728184616706,1.0145022058555415,-0.04186296463012695,-5.124392509460449,-0.2583589553833008,1.207899570465088,0.34165370134679834,1.0,0.0,0.15143726400268198,-0.21649599075317383
