target,model,features,n,events,event_rate,aic,bic,llf,error,feature,label,coef,se,z,p,sig,delta_aic
human,entropy_only,entropy_actor,30011,2202.0,0.07337309653127187,15393.543531413448,15468.327404754395,-7687.771765706724,,,,,,,,,6123.100518065205
human,margin_only,neg_q_gap,30011,2202.0,0.07337309653127187,15713.379593946705,15788.163467287652,-7847.689796973353,,,,,,,,,6442.936580598462
human,reward_context,"prev_reward_5,root_value",30011,2202.0,0.07337309653127187,15656.651824661962,15739.745017263012,-7818.325912330981,,,,,,,,,6386.208811313718
human,search_context,"search_jsd_actor_root,rollout_spread,tree_width",30011,2202.0,0.07337309653127187,9752.72251940884,9844.125031269998,-4865.36125970442,,,,,,,,,482.27950606059676
human,full_onset,"entropy_actor,neg_q_gap,rollout_spread,search_jsd_actor_root,tree_width,root_value,prev_reward_5",30011,2202.0,0.07337309653127187,9270.443013348244,9395.08280224982,-4620.221506674122,,,,,,,,,0.0
human,full_onset_coef,,30011,,0.07337309653127187,,,,,entropy_actor,Actor entropy,0.2874238210811211,0.04893939258559611,5.873056568456796,4.278323997769251e-09,***,
human,full_onset_coef,,30011,,0.07337309653127187,,,,,neg_q_gap,Low Q gap,-0.0767474705635128,0.02950115468103509,-2.601507344146436,0.009281507780212844,**,
human,full_onset_coef,,30011,,0.07337309653127187,,,,,rollout_spread,Rollout spread,-0.1087883714227128,0.032795595430454606,-3.3171640884949407,0.0009093619208132464,***,
human,full_onset_coef,,30011,,0.07337309653127187,,,,,search_jsd_actor_root,Actor-root JSD,1.32457293871613,0.0701163375147879,18.891074258360554,1.3506897275548825e-79,***,
human,full_onset_coef,,30011,,0.07337309653127187,,,,,tree_width,Tree width,-0.34718181018263566,0.033237689271666634,-10.445425593366677,1.5376413997201e-25,***,
human,full_onset_coef,,30011,,0.07337309653127187,,,,,root_value,Root value,0.6870162173729419,0.08933774703460517,7.6901000996457265,1.4701995631678654e-14,***,
human,full_onset_coef,,30011,,0.07337309653127187,,,,,prev_reward_5,Previous 5-step reward,-0.01856823811214764,0.028974050992919557,-0.6408575078674775,0.5216152655041,ns,
thinker,entropy_only,entropy_actor,31462,6982.0,0.22191850486300935,30893.364159628807,30968.57298135525,-15437.682079814404,,,,,,,,,312.9732809291454
thinker,margin_only,neg_q_gap,31462,6982.0,0.22191850486300935,33306.04483064584,33381.25365237228,-16644.02241532292,,,,,,,,,2725.6539519461803
thinker,reward_context,"prev_reward_5,root_value",31462,6982.0,0.22191850486300935,33279.13561897546,33362.70097644928,-16629.56780948773,,,,,,,,,2698.744740275797
thinker,search_context,"search_jsd_actor_root,rollout_spread,tree_width",31462,6982.0,0.22191850486300935,32738.128634364246,32830.05052758545,-16358.064317182123,,,,,,,,,2157.7377556645843
thinker,full_onset,"entropy_actor,neg_q_gap,rollout_spread,search_jsd_actor_root,tree_width,root_value,prev_reward_5",31462,6982.0,0.22191850486300935,30580.39087869966,30705.7389149104,-15275.19543934983,,,,,,,,,0.0
thinker,full_onset_coef,,31462,,0.22191850486300935,,,,,entropy_actor,Actor entropy,0.7845967474809531,0.025249010034840667,31.074356832141213,5.349516673640343e-212,***,
thinker,full_onset_coef,,31462,,0.22191850486300935,,,,,neg_q_gap,Low Q gap,-0.03470529833544126,0.020617487444951475,-1.6832942630911805,0.09231814045166788,ns,
thinker,full_onset_coef,,31462,,0.22191850486300935,,,,,rollout_spread,Rollout spread,-0.07873837544825942,0.019649745718629028,-4.007093861454459,6.14704389768517e-05,***,
thinker,full_onset_coef,,31462,,0.22191850486300935,,,,,search_jsd_actor_root,Actor-root JSD,-0.09859593342114377,0.012340196437978039,-7.989818793946109,1.3513723778668168e-15,***,
thinker,full_onset_coef,,31462,,0.22191850486300935,,,,,tree_width,Tree width,-0.18160097715262283,0.013908963015575536,-13.056399456182493,5.842641406136069e-39,***,
thinker,full_onset_coef,,31462,,0.22191850486300935,,,,,root_value,Root value,0.10953548574379246,0.029179245648371606,3.7538833958822804,0.0001741158838197907,***,
thinker,full_onset_coef,,31462,,0.22191850486300935,,,,,prev_reward_5,Previous 5-step reward,-0.007635430957829098,0.016597468660166894,-0.46003587138283053,0.6454904729310821,ns,
