feature,label,term,coef,se,z,p,sig,n,event_rate
entropy_actor,Actor entropy,z_entropy_actor,0.42195493715992377,0.04624987214089771,9.123375214410563,7.282033199428164e-20,***,75000,0.3744
entropy_actor,Actor entropy,species_thinker,-0.10749019434098991,0.02460080498293771,-4.369377116543198,1.2460143073106128e-05,***,75000,0.3744
entropy_actor,Actor entropy,z_entropy_actor:species_thinker,-0.1165722318948785,0.017019413667739257,-6.849368266771975,7.417681887700352e-12,***,75000,0.3744
neg_q_gap,Low Q gap,z_neg_q_gap,0.02718460198652221,0.016229665905315292,1.6749945528835024,0.09393530040866341,ns,75000,0.3744
neg_q_gap,Low Q gap,species_thinker,-0.11525395402600194,0.023341251262240684,-4.93777958735439,7.901707636645263e-07,***,75000,0.3744
neg_q_gap,Low Q gap,z_neg_q_gap:species_thinker,0.012488441782569526,0.007191097724103116,1.7366530482141518,0.08244842990159648,ns,75000,0.3744
search_jsd_actor_root,Actor-root JSD,z_search_jsd_actor_root,0.15096902035076737,0.015502412519745701,9.738421046303303,2.0674160343080869e-22,***,75000,0.3744
search_jsd_actor_root,Actor-root JSD,species_thinker,-0.11400367971579009,0.024014722688309006,-4.7472411485013755,2.0621004081752023e-06,***,75000,0.3744
search_jsd_actor_root,Actor-root JSD,z_search_jsd_actor_root:species_thinker,-0.05367867240673724,0.007741894073614817,-6.933532272119268,4.1046021872581144e-12,***,75000,0.3744
rollout_spread,Rollout spread,z_rollout_spread,-0.4079983976040794,0.029219686500385023,-13.963133984983148,2.616694740288584e-44,***,75000,0.3744
rollout_spread,Rollout spread,species_thinker,-0.10147444793310367,0.021788488000997495,-4.657250559490778,3.2046033735245764e-06,***,75000,0.3744
rollout_spread,Rollout spread,z_rollout_spread:species_thinker,0.1522353824094859,0.013520991453523276,11.259187828997309,2.086729596102657e-29,***,75000,0.3744
neg_actor_policy_gap,Low actor margin,z_neg_actor_policy_gap,0.2595187963378988,0.04723567728476813,5.494126712174499,3.9264850255107305e-08,***,75000,0.3744
neg_actor_policy_gap,Low actor margin,species_thinker,-0.11225260682082322,0.023882779001041674,-4.700148454915033,2.599724303780036e-06,***,75000,0.3744
neg_actor_policy_gap,Low actor margin,z_neg_actor_policy_gap:species_thinker,-0.07141249225873333,0.02433933671608724,-2.9340360870036686,0.003345853050402101,**,75000,0.3744
branch_entropy,Branch entropy,z_branch_entropy,0.17698584926648955,0.012515337399494567,14.141516414382655,2.1069476086093364e-45,***,75000,0.3744
branch_entropy,Branch entropy,species_thinker,-0.11340513813312862,0.023040153431737802,-4.922065231428237,8.563565793440975e-07,***,75000,0.3744
branch_entropy,Branch entropy,z_branch_entropy:species_thinker,-0.07122160667073381,0.010473803340856604,-6.79997555357087,1.0463690516715237e-11,***,75000,0.3744
tree_width,Tree width,z_tree_width,-0.4699125676264141,0.024920312968305297,-18.856607789158534,2.5933385743901873e-79,***,75000,0.3744
tree_width,Tree width,species_thinker,-0.09944758046471333,0.02420031408599759,-4.109350817155474,3.9677293391009085e-05,***,75000,0.3744
tree_width,Tree width,z_tree_width:species_thinker,0.18253895547626356,0.016345850176987548,11.16729650032217,5.894780276574247e-29,***,75000,0.3744
