target,feature,label,bin,bin_feature_mean,bin_feature_min,bin_feature_max,mean_noop_rate,sem_noop_rate,n_files,n_steps
human,entropy_actor,Actor entropy,0,0.4088596126878013,0.0702682783561242,0.5706500837438728,0.20998299569696494,0.0328963027783195,8,9838
human,entropy_actor,Actor entropy,1,0.700053468647475,0.5706603647531424,0.8058842558756907,0.31268249767024076,0.022460769468080167,8,9837
human,entropy_actor,Actor entropy,2,0.8802568088174085,0.8058945666370275,0.949704881232987,0.4172871930657406,0.023312489971225366,8,9838
human,entropy_actor,Actor entropy,3,1.0204694523801008,0.9497318194120264,1.095266371344969,0.5178127851043014,0.01540407132572117,8,9837
human,entropy_actor,Actor entropy,4,1.2039742608603106,1.095275773068011,1.6438438566523714,0.48311212417225013,0.021761804303114717,8,9838
human,neg_q_gap,Low Q gap,0,-3.9101120462006103,-6.318654537200928,-2.9533894062042236,0.3886008730270647,0.012706010860982721,8,9838
human,neg_q_gap,Low Q gap,1,-1.6933235054797522,-2.953376054763794,-0.4852461814880371,0.37754009290702506,0.020218878870112006,8,9837
human,neg_q_gap,Low Q gap,2,-0.21302185644791163,-0.48506832122802734,-0.07870125770568848,0.24996070509315707,0.008106513952416754,8,9838
human,neg_q_gap,Low Q gap,3,-0.012326298264240839,-0.07866144180297852,-0.0,0.46457070642186477,0.020601790582118206,8,19675
human,search_jsd_actor_root,Actor-root JSD,0,0.02153679602171756,0.003055557648818839,0.03207693569443164,0.18318494378150946,0.019925364992648357,8,9838
human,search_jsd_actor_root,Actor-root JSD,1,0.04253013444975815,0.03208094694472737,0.05332235272813946,0.3189232682546585,0.019614042808847928,8,9837
human,search_jsd_actor_root,Actor-root JSD,2,0.06693428775836317,0.053326159851655786,0.08308694421853267,0.4813054250381524,0.019877567728779674,8,9838
human,search_jsd_actor_root,Actor-root JSD,3,0.10779104182604189,0.08309033043924335,0.13970249852778793,0.5599589136290903,0.03190107559005708,8,9837
human,search_jsd_actor_root,Actor-root JSD,4,0.2754332765988943,0.13971605277385718,0.6779270573377043,0.41796032172035913,0.014681763714310373,8,9838
human,rollout_spread,Rollout spread,0,0.018309856696502817,0.0,0.15183746814727783,0.4558743378286997,0.018744460880770794,8,29513
human,rollout_spread,Rollout spread,1,0.2874374025736769,0.15185809135437012,0.44911980628967285,0.3240201049664011,0.012725779285402283,8,9837
human,rollout_spread,Rollout spread,2,0.7884133716378362,0.44915175437927246,5.673360228538513,0.24868852355413504,0.008915599238938893,8,9838
human,neg_actor_policy_gap,Low actor margin,0,-0.846070733082576,-0.9826077440043549,-0.7653440106305198,0.25803022835730405,0.03442016467688257,8,9838
human,neg_actor_policy_gap,Low actor margin,1,-0.680309645580818,-0.7653428337909035,-0.5932954904367082,0.3563261132464005,0.022885972230411087,8,9837
human,neg_actor_policy_gap,Low actor margin,2,-0.533018215743307,-0.5932243486083177,-0.4822498865194854,0.4059114723293713,0.022274539650546557,8,9838
human,neg_actor_policy_gap,Low actor margin,3,-0.4323486724723954,-0.4822406875913949,-0.37391116876408736,0.41839829283824836,0.016564974248469807,8,9837
human,neg_actor_policy_gap,Low actor margin,4,-0.242695407046059,-0.37386474117041496,-8.78140110150416e-05,0.4966615134013036,0.0212135604762272,8,9838
human,branch_entropy,Branch entropy,0,0.07503182882762417,-1.000088900581841e-12,0.6365141682928128,0.382861245512442,0.015194271973634108,8,21445
human,branch_entropy,Branch entropy,1,0.6930944305350126,0.6730116645904961,0.6931471805579453,0.32160153517483436,0.013625699035884141,8,9737
human,branch_entropy,Branch entropy,2,1.5908276146449503,0.8675632284784613,1.791759469222055,0.4342057613135205,0.01783734760027247,8,18006
human,tree_width,Tree width,0,0.6026479502312968,0.0,1.0,0.4532249341600127,0.01645097706409735,8,31345
human,tree_width,Tree width,1,2.0,2.0,2.0,0.304558275423612,0.013904917286585727,8,12292
human,tree_width,Tree width,2,3.2262655377409475,3.0,6.0,0.21426232931418143,0.017853597230271776,8,5551
thinker,entropy_actor,Actor entropy,0,0.4088596126878013,0.0702682783561242,0.5706500837438728,0.21356105581870394,0.03144591688910153,8,9838
thinker,entropy_actor,Actor entropy,1,0.700053468647475,0.5706603647531424,0.8058842558756907,0.3126552700260524,0.020813910537058562,8,9837
thinker,entropy_actor,Actor entropy,2,0.8802568088174085,0.8058945666370275,0.949704881232987,0.39173709958985886,0.01960245696457368,8,9838
thinker,entropy_actor,Actor entropy,3,1.0204694523801008,0.9497318194120264,1.095266371344969,0.46137275696427715,0.007651228325749181,8,9837
thinker,entropy_actor,Actor entropy,4,1.2039742608603106,1.095275773068011,1.6438438566523714,0.40766692483955747,0.007844264247916191,8,9838
thinker,neg_q_gap,Low Q gap,0,-3.9101120462006103,-6.318654537200928,-2.9533894062042236,0.3405185100694509,0.011563957304641234,8,9838
thinker,neg_q_gap,Low Q gap,1,-1.6933235054797522,-2.953376054763794,-0.4852461814880371,0.36333283495969476,0.012015936156343245,8,9837
thinker,neg_q_gap,Low Q gap,2,-0.21302185644791163,-0.48506832122802734,-0.07870125770568848,0.25886637509653765,0.00827254712657965,8,9838
thinker,neg_q_gap,Low Q gap,3,-0.012326298264240839,-0.07866144180297852,-0.0,0.41508923207278065,0.01711858970279724,8,19675
thinker,search_jsd_actor_root,Actor-root JSD,0,0.02153679602171756,0.003055557648818839,0.03207693569443164,0.22759896848989863,0.020258213036106382,8,9838
thinker,search_jsd_actor_root,Actor-root JSD,1,0.04253013444975815,0.03208094694472737,0.05332235272813946,0.29504345513706964,0.01565025666408082,8,9837
thinker,search_jsd_actor_root,Actor-root JSD,2,0.06693428775836317,0.053326159851655786,0.08308694421853267,0.43212028966869703,0.014618762800801733,8,9838
thinker,search_jsd_actor_root,Actor-root JSD,3,0.10779104182604189,0.08309033043924335,0.13970249852778793,0.4705483903289919,0.01827645996510523,8,9837
