address,slot_name,is_key_slot,is_annotated_slot,trace_excluded,n_unique,value_min,value_max,value_range,pearson_r,r2,mae,normalized_mae,rounded_acc,majority_acc,acc_gain,pearson_rank,r2_rank,acc_gain_rank
0,internal_scan_counter,0,1,1,6,0.0,5.0,5.0,0.9304467210773627,0.8652381225031316,0.5152337240975998,0.10304674481951996,0.6197853134910953,0.35335854273400014,0.2664267707570952,2,2,1
1,,0,0,0,52,1.0,128.0,127.0,-0.0026883670859952752,-0.18833278947374854,59.96193574030748,0.4721412263016337,0.001484101813450435,0.5000609904854842,-0.4985768886720338,80,64,99
2,,0,0,0,22,0.0,160.0,160.0,0.004063488851532628,-0.15538946854390967,4.607354648827518,0.028795966555171987,0.3651500365942913,0.9236805724973571,-0.5585305359030659,73,55,108
3,,0,0,0,153,0.0,249.0,249.0,0.0887884830468696,-0.15662613351447385,66.99048201111242,0.2690380803659133,0.004574286411319834,0.04905668049117671,-0.04448239407985687,62,56,51
4,,0,0,0,104,2.0,248.0,246.0,0.40893973204406375,0.0912083773299115,55.614520471794215,0.22607528647070818,0.0062413596812230625,0.055155729039603155,-0.04891436935838009,30,29,55
5,,0,0,0,1,162.0,162.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
6,,0,0,0,83,2.0,247.0,245.0,0.2431747108519861,-0.05627557260306526,67.78933824325293,0.2766911765030732,0.004188013336586159,0.08900544848336993,-0.08481743514678378,47,43,59
7,,0,0,0,1,183.0,183.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
8,,0,0,0,108,2.0,248.0,246.0,0.10259007292941544,-0.18666285318046705,65.76669754120763,0.2673442989479985,0.003984711718305277,0.06479222574611694,-0.06080751402781166,59,63,57
9,,0,0,0,114,0.0,255.0,255.0,0.14578258035185074,-0.09324408056077282,69.48774204857516,0.27250094921009865,0.005285842075302919,0.2445108563064162,-0.23922501423111328,55,45,76
10,,0,0,0,10,16.0,246.0,230.0,0.039082718666101406,-0.15006982499261157,14.530591798447162,0.06317648608020505,0.035252500609904855,0.9457591282426608,-0.910506627632756,67,52,127
11,,0,0,0,2,9.0,255.0,246.0,0.037017127009640494,-0.1621445136614741,121.5416241312566,0.49407164280998617,0.01010409042855981,0.5101040904285599,-0.5,68,60,101
12,,0,0,0,1,255.0,255.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
13,alien_edge_x_limit,0,1,0,6,50.0,130.0,80.0,0.838581678728656,0.6951682856541563,10.111096002323274,0.12638870002904093,0.03815971375132146,0.6908595592420915,-0.6526998454907701,12,12,114
14,,0,0,0,1,255.0,255.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
15,,0,0,0,1,255.0,255.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
16,enemies_y,1,1,0,16,0.0,76.0,76.0,0.9210657773316326,0.8472791597565152,4.817890571774317,0.06339329699703049,0.1173660242335529,0.15951044970317962,-0.042144425469626726,3,3,50
17,enemy_count,1,1,0,37,0.0,36.0,36.0,0.9427532532157539,0.8883173950749254,2.7341563020129023,0.07594878616702506,0.13182076929332356,0.06861429616979751,0.06320647312352605,1,1,2
18,alien_row1_bitmap,0,1,0,18,0.0,63.0,63.0,0.8850914856527086,0.7802091580862857,8.50797623650392,0.13504724184926856,0.299585264698707,0.6469260795315931,-0.3473408148328861,7,7,86
19,alien_row2_bitmap,0,1,0,22,0.0,63.0,63.0,0.9142832346254627,0.8349514708439423,8.21667427936007,0.13042340125968366,0.24532406277953972,0.539908107668537,-0.2945840448889973,4,4,81
20,alien_row3_bitmap,0,1,0,29,0.0,63.0,63.0,0.8892222002791305,0.7884703069864485,9.302659047835531,0.14766125472754812,0.1794949987801903,0.41105554200211436,-0.23156054322192407,6,6,74
21,alien_row4_bitmap,0,1,0,29,0.0,63.0,63.0,0.8710577707558222,0.7550765197917263,10.378517621802617,0.1647383749492479,0.15070748963161748,0.2983044645035374,-0.14759697487191994,9,9,65
22,alien_row5_bitmap,0,1,0,38,0.0,63.0,63.0,0.8760382807267236,0.7639387206548118,9.857585063627836,0.15646960418456882,0.09235992518500448,0.3775107749857689,-0.28515084980076444,8,8,80
23,alien_row6_bitmap,0,1,0,27,0.0,63.0,63.0,0.8297618081026901,0.6804284910861911,9.956786244305457,0.15804422610008662,0.04434008294706026,0.49566967553061725,-0.451329592583557,13,13,96
24,,0,0,0,10,16.0,147.0,131.0,0.34176894006110725,-0.040907432872329785,21.294390989433722,0.16255260297277652,0.017666910628608604,0.3619785313491095,-0.3443116207205009,36,38,85
25,,0,0,0,4,0.0,3.0,3.0,0.40042407961001447,0.056081341885088176,0.6836652163544292,0.2278884054514764,0.5339310400910792,0.6277140766040498,-0.0937830365129706,31,31,62
