subject,game,game_name,day,bout_length
sub_1,1,Pong,1,80
sub_1,1,Pong,1,49
sub_1,1,Pong,1,9
sub_1,1,Pong,1,30
sub_1,1,Pong,1,15
sub_1,1,Pong,1,11
sub_1,1,Pong,1,8
sub_1,1,Pong,1,12
sub_1,1,Pong,1,25
sub_1,1,Pong,1,68
sub_1,1,Pong,1,37
sub_1,1,Pong,1,9
sub_1,1,Pong,1,28
sub_1,1,Pong,1,72
sub_1,1,Pong,1,10
sub_1,1,Pong,1,99
sub_1,1,Pong,1,73
sub_1,1,Pong,1,35
sub_1,1,Pong,1,172
sub_1,1,Pong,1,39
sub_1,1,Pong,1,194
sub_1,1,Pong,1,24
sub_1,1,Pong,1,31
sub_1,1,Pong,1,11
sub_1,1,Pong,1,11
sub_1,1,Pong,1,8
sub_1,1,Pong,1,5
sub_1,1,Pong,1,13
sub_1,1,Pong,1,23
sub_1,1,Pong,1,137
sub_1,1,Pong,1,64
sub_1,1,Pong,1,169
sub_1,1,Pong,1,8
sub_1,1,Pong,1,87
sub_1,1,Pong,1,111
sub_1,1,Pong,1,6
sub_1,1,Pong,1,22
sub_1,1,Pong,1,29
sub_1,1,Pong,1,25
sub_1,1,Pong,1,6
sub_1,1,Pong,1,43
sub_1,1,Pong,1,149
sub_1,1,Pong,1,6
sub_1,1,Pong,1,15
sub_1,1,Pong,1,23
sub_1,1,Pong,1,100
sub_1,1,Pong,1,32
sub_1,1,Pong,1,43
sub_1,1,Pong,1,42
sub_1,1,Pong,1,26
sub_1,1,Pong,1,28
sub_1,1,Pong,1,69
sub_1,1,Pong,1,45
sub_1,1,Pong,1,74
sub_1,1,Pong,1,9
sub_1,1,Pong,1,17
sub_1,1,Pong,1,27
sub_1,1,Pong,1,13
sub_1,1,Pong,1,25
sub_1,1,Pong,1,37
sub_1,1,Pong,1,34
sub_1,1,Pong,1,340
sub_1,1,Pong,1,21
sub_1,1,Pong,1,17
sub_1,1,Pong,1,13
sub_1,1,Pong,1,165
sub_1,1,Pong,1,49
sub_1,1,Pong,1,16
sub_1,1,Pong,1,6
sub_1,1,Pong,1,20
sub_1,1,Pong,1,15
sub_1,1,Pong,1,11
sub_1,1,Pong,1,11
sub_1,1,Pong,1,10
sub_1,1,Pong,1,38
sub_1,1,Pong,1,49
sub_1,1,Pong,1,9
sub_1,1,Pong,1,43
sub_1,1,Pong,1,25
sub_1,1,Pong,1,8
sub_1,1,Pong,1,94
sub_1,1,Pong,1,12
sub_1,1,Pong,1,156
sub_1,1,Pong,1,13
sub_1,1,Pong,1,12
sub_1,1,Pong,1,184
