subject,subject_label,game_id,game_name,n_episodes,mean_withholding_preceded,mean_not_preceded,n_subjects,shapiro_p,test_name,statistic,p_value,significance
sub-001,S1,0,Enduro,12,0.11222782803515081,0.07038253593546016,12,0.4663608229222847,paired t-test,4.785553599496792,0.0005663355543926572,***
sub-001,S1,1,Pong,11,-0.0008488612836438924,-0.0038953135478454106,11,0.47873008453259697,paired t-test,1.700921430273637,0.11979197526340941,ns
sub-001,S1,2,SpaceInvaders,50,1.0527787704644063,0.7407021884099083,50,0.00015733493039263356,Wilcoxon signed-rank,214.0,1.7805245978053108e-05,***
sub-002,S2,0,Enduro,12,0.10643072041673879,0.06340027320631714,12,0.5763901076604326,paired t-test,6.516284272209793,4.330179512231575e-05,***
sub-002,S2,1,Pong,11,0.0005577244841048522,-0.009692369127619628,11,0.4541595848475965,paired t-test,8.828137950074922,4.9196731958420574e-06,***
sub-002,S2,2,SpaceInvaders,54,0.9883366776374835,0.7920848583222319,54,0.17686722606658317,paired t-test,3.55891087699367,0.0007951621329951783,***
sub-003,S3,0,Enduro,11,0.12464069664536798,0.0634467760625807,11,0.13694165113321377,paired t-test,5.142409420229713,0.0004362306780077735,***
sub-003,S3,1,Pong,11,-0.0025480399749405603,-0.018073182126269502,11,0.8286341020173329,paired t-test,6.112652009787859,0.0001137787403172553,***
sub-003,S3,2,SpaceInvaders,32,1.0304815813493668,0.8173714521719846,32,0.01263624519343314,Wilcoxon signed-rank,126.0,0.008798165712505579,**
sub-004,S4,0,Enduro,11,0.0422612422375834,0.07716091874131595,11,0.07634146286681251,paired t-test,-1.7580295617466164,0.10925179134016062,ns
sub-004,S4,1,Pong,11,-0.005572308366100057,-0.006794287615160799,11,0.4740050017008895,paired t-test,0.745874271592441,0.472912028704326,ns
sub-004,S4,2,SpaceInvaders,35,1.0322549545129762,0.8642838441600743,35,0.011293945341313553,Wilcoxon signed-rank,145.0,0.004516516288276762,**
sub-005,S5,0,Enduro,11,0.11289908838303114,0.06946441020010631,11,0.653587033330129,paired t-test,4.837431148154856,0.0006841216625207129,***
sub-005,S5,1,Pong,11,-0.001312279105507658,-0.008152510106520844,11,0.31542374220973446,paired t-test,3.770129685031891,0.0036607629194187023,**
sub-005,S5,2,SpaceInvaders,46,0.6926990802305254,0.6337641960066026,46,0.22544248718465792,paired t-test,0.9882333612050607,0.3283224655851512,ns
sub-006,S6,0,Enduro,12,0.10908435706150055,0.06124229345635679,12,0.10565178107390027,paired t-test,5.840096656355459,0.00011250225968749427,***
sub-006,S6,1,Pong,11,-0.0033259864435983212,-0.005511386468278173,11,0.6019769786241908,paired t-test,1.2549735782477796,0.23802400941210627,ns
sub-006,S6,2,SpaceInvaders,64,1.0389269080782069,0.8470397365328322,64,0.3489457833938441,paired t-test,3.807535306681607,0.0003205212633633837,***
