subject,subject_label,session,block,game_id,game_name,episode_index,n_withholding_preceded,n_not_preceded,reward_withholding_preceded_mean,reward_not_preceded_mean,reward_difference,episode_label
sub-001,S1,1,2,0,Enduro,0,367,8116,0.14713896457765668,0.04879250862493839,0.09834645595271829,ses01-block02-ep00
sub-001,S1,1,2,0,Enduro,1,205,4610,0.15121951219512195,0.06832971800433839,0.08288979419078356,ses01-block02-ep01
sub-001,S1,1,5,0,Enduro,0,577,13534,0.11611785095320624,0.06982414659376385,0.0462937043594424,ses01-block05-ep00
sub-001,S1,2,1,0,Enduro,0,402,11985,0.12437810945273632,0.0654985398414685,0.05887956961126782,ses02-block01-ep00
sub-001,S1,2,3,0,Enduro,0,395,12382,0.13670886075949368,0.06735583912130512,0.06935302163818856,ses02-block03-ep00
sub-001,S1,2,6,0,Enduro,0,364,12557,0.11263736263736264,0.07963685593692761,0.03300050670043503,ses02-block06-ep00
sub-001,S1,3,1,0,Enduro,0,641,9198,0.07956318252730109,0.07023265927375516,0.009330523253545928,ses03-block01-ep00
sub-001,S1,3,3,0,Enduro,0,651,9126,0.09370199692780339,0.07681349989042296,0.01688849703738042,ses03-block03-ep00
sub-001,S1,3,6,0,Enduro,0,517,10139,0.0851063829787234,0.07377453397770983,0.01133184900101357,ses03-block06-ep00
sub-001,S1,4,1,0,Enduro,0,557,11549,0.10951526032315978,0.0744653216728721,0.035049938650287674,ses04-block01-ep00
sub-001,S1,4,3,0,Enduro,0,304,11999,0.1118421052631579,0.0757563130260855,0.036085792237072395,ses04-block03-ep00
sub-001,S1,4,6,0,Enduro,0,368,11186,0.07880434782608696,0.07411049526193456,0.004693852564152404,ses04-block06-ep00
sub-001,S1,1,1,1,Pong,0,276,2143,-0.0036231884057971015,-0.006532897806812879,0.0029097094010157773,ses01-block01-ep00
sub-001,S1,1,4,1,Pong,0,244,1404,0.0,-0.01638176638176638,0.01638176638176638,ses01-block04-ep00
sub-001,S1,2,5,1,Pong,0,244,1200,0.0,-0.006666666666666667,0.006666666666666667,ses02-block05-ep00
