subject,subject_label,game_id,game_name,n_withholding_preceded,n_not_preceded,reward_withholding_preceded_mean,reward_not_preceded_mean,reward_difference
sub-001,S1,0,Enduro,5348,126381,0.30721765145848917,0.20929570109431006,0.09792195036417911
sub-002,S2,0,Enduro,4754,72149,0.2978544383676904,0.163883075302499,0.1339713630651914
sub-003,S3,0,Enduro,1522,119534,0.3180026281208936,0.19196211956430806,0.12604050855658552
sub-004,S4,0,Enduro,612,142199,0.08986928104575163,0.23085253764091168,-0.14098325659516003
sub-005,S5,0,Enduro,2506,114128,0.2956903431763767,0.2073811860367307,0.08830915713964602
sub-006,S6,0,Enduro,2878,117558,0.34155663655316193,0.200734956361966,0.14082168019119592
sub-001,S1,1,Pong,2152,9446,-0.01254646840148699,-0.026783823840779167,0.014237355439292177
sub-002,S2,1,Pong,1800,8394,-0.014444444444444444,-0.03633547772218251,0.02189103327773807
sub-003,S3,1,Pong,1557,14364,-0.0340398201669878,-0.05611250348092453,0.022072683313936733
sub-004,S4,1,Pong,3198,23622,-0.01594746716697936,-0.02027770722208111,0.004330240055101749
sub-005,S5,1,Pong,2457,20218,-0.013838013838013839,-0.04308042338510239,0.02924240954708855
sub-006,S6,1,Pong,1874,10874,-0.011739594450373533,-0.023818282140886517,0.012078687690512985
sub-001,S1,2,SpaceInvaders,11487,157114,3.44345782188561,2.338143004442634,1.1053148174429759
sub-002,S2,2,SpaceInvaders,9745,112833,3.0702924576706003,2.527540701745057,0.5427517559255435
sub-003,S3,2,SpaceInvaders,8728,121228,3.14333180568286,2.6814349820173558,0.4618968236655041
sub-004,S4,2,SpaceInvaders,12824,119279,3.374142233312539,2.7942051828066967,0.5799370505058423
sub-005,S5,2,SpaceInvaders,5478,97417,2.4224169404892297,1.8267858792613199,0.5956310612279099
sub-006,S6,2,SpaceInvaders,11847,124820,3.4823161981936357,2.6970437429899055,0.7852724552037302
